dataset,count_dx,tool,cell_count,tool_cell_count
https://entity.api.hubmapconsortium.org/entities/5e2aaccdea5c209e217888f2c20ea64b,-4014,popv,5998,1984
https://entity.api.hubmapconsortium.org/entities/3e1d2641c370e6d6c47ff51d34fe5a58,-3667,popv,5981,2314
https://entity.api.hubmapconsortium.org/entities/f3256b912f001d1b58877100b96e38a2,-3197,popv,6000,2803
https://entity.api.hubmapconsortium.org/entities/baf7cfd920bea2bbc0b6cd7d00ec1789,-2812,popv,5996,3184
https://entity.api.hubmapconsortium.org/entities/2c718a10905c5941d4cc134a7027f808,-2303,popv,6000,3697
https://entity.api.hubmapconsortium.org/entities/d9780d3f4eb9edfe275abaa32ff8633b,-2011,popv,11633,9622
https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734,-1929,popv,5995,4066
https://entity.api.hubmapconsortium.org/entities/046251c94ea0e79ee935dd3de57e093c,-1911,popv,13616,11705
https://entity.api.hubmapconsortium.org/entities/2a4bc7e02193ed50cc8d692db06f042d,-1687,popv,6000,4313
https://entity.api.hubmapconsortium.org/entities/f71249f6e349fb9a99a3d4f08541cab4,-1517,popv,9183,7666
https://entity.api.hubmapconsortium.org/entities/93b26f289133669d892d8d8704685899,-1501,popv,3998,2497
https://entity.api.hubmapconsortium.org/entities/a0bfd09a989530ba348d64499adf6a6b,-1501,popv,3998,2497
https://entity.api.hubmapconsortium.org/entities/f412e76986c1012ea9589d545ed8f043,-1335,popv,16047,14712
https://entity.api.hubmapconsortium.org/entities/9a36e5319429ec6aca5a8a9fef401929,-1334,popv,15192,13858
https://entity.api.hubmapconsortium.org/entities/7199675050ce69bc8c4812005ff086f9,-1246,popv,6000,4754
https://entity.api.hubmapconsortium.org/entities/d746afe85a0b4aa92b57fa8497e8f519,-1246,popv,6000,4754
https://entity.api.hubmapconsortium.org/entities/2eca1430db3b9a4129bff717925fe932,-1149,popv,5996,4847
https://entity.api.hubmapconsortium.org/entities/9458b342e7a9bad77887b60ca42b6a26,-942,popv,6000,5058
https://entity.api.hubmapconsortium.org/entities/edfca1e982b712389bcc67d40d148a53,-912,popv,3995,3083
https://entity.api.sennetconsortium.org/entities/7c0457b5cbb0c6b068dcd1b013a33716,-875,popv,7325,6450
https://entity.api.hubmapconsortium.org/entities/5f2a08b1c3ce5d7d880dd19b5eb9d04c,-819,popv,9998,9179
https://entity.api.hubmapconsortium.org/entities/d4b23a7e9ecabca43d99d9b7444b742b,-819,popv,9998,9179
