Organ_Label,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,dataset_count,cell_count
heart,UBERON:0000948,cardiac endothelial cell,CL:0010008,cardiac endothelial cell,CL:0010008,,111,117895
heart,UBERON:0000948,cardiac muscle cell,CL:0000746,cardiac muscle cell,CL:0000746,,112,360982
heart,UBERON:0000948,fibroblast of cardiac tissue,CL:0002548,fibroblast of cardiac tissue,CL:0002548,,112,142386
heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,,107,4380
heart,UBERON:0000948,macrophage,CL:0000235,macrophage,CL:0000235,,110,70111
heart,UBERON:0000948,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,,112,90107
large intestine,UBERON:0000059,B cell,CL:0000236,B cell,CL:0000236,,37,1534
large intestine,UBERON:0000059,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000624,,36,2058
large intestine,UBERON:0000059,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000625,,38,1722
large intestine,UBERON:0000059,enterocyte of epithelium of large intestine,CL:0002071,enterocyte of epithelium of large intestine,CL:0002071,,39,48196
large intestine,UBERON:0000059,fibroblast,CL:0000057,fibroblast,CL:0000057,,38,16869
large intestine,UBERON:0000059,gut endothelial cell,CL:0000131,gut endothelial cell,CL:0000131,,39,16212
large intestine,UBERON:0000059,intestinal enteroendocrine cell,CL:1001516,intestinal enteroendocrine cell,CL:1001516,,36,1025
large intestine,UBERON:0000059,intestinal tuft cell,CL:0019032,intestinal tuft cell,CL:0019032,,39,17291
large intestine,UBERON:0000059,large intestine goblet cell,CL:1000320,large intestine goblet cell,CL:1000320,,39,20534
large intestine,UBERON:0000059,mast cell,CL:0000097,mast cell,CL:0000097,,15,37
large intestine,UBERON:0000059,monocyte,CL:0000576,monocyte,CL:0000576,,35,1251
large intestine,UBERON:0000059,neutrophil,CL:0000775,neutrophil,CL:0000775,,27,710
large intestine,UBERON:0000059,paneth cell of colon,CL:0009009,paneth cell of colon,CL:0009009,,38,2198
large intestine,UBERON:0000059,plasma cell,CL:0000786,plasma cell,CL:0000786,,29,958
large intestine,UBERON:0000059,transit amplifying cell of colon,CL:0009011,transit amplifying cell of colon,CL:0009011,,28,1118
