organId,organ,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0001004,respiratory system,sc_bulk,Left apical bronchopulmonary segment,Superior lingular bronchus,0.46997395320984128,11,2
UBERON:0001004,respiratory system,sc_bulk,Lateral segmental bronchus,Superior lingular bronchus,0.41486246112570210,9,2
UBERON:0001004,respiratory system,sc_bulk,Left anterior segmental bronchus,Superior lingular bronchus,0.42574281333675844133,7,2
UBERON:0001004,respiratory system,sc_bulk,Right posterior bronchopulmonary segment,Superior lingular bronchus,0.50149060067881586222,13,2
UBERON:0001004,respiratory system,sc_bulk,Left apical segmental bronchus,Superior lingular bronchus,0.48578462038537367222,9,2
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Superior lingular bronchus,0.41105606639520338111,3,2
UBERON:0001004,respiratory system,sc_bulk,Left posterior bronchopulmonary segment,Superior lingular bronchus,0.50356784230431765778,8,2
UBERON:0001004,respiratory system,sc_bulk,Inferior lingular bronchopulmonary segment,Superior lingular bronchus,0.42541393669687898456,5,2
UBERON:0001004,respiratory system,sc_bulk,Right apical bronchopulmonary segment,Superior lingular bronchus,0.44783925701933699444,7,2
UBERON:0001004,respiratory system,sc_bulk,Right anterior segmental bronchus,Superior lingular bronchus,0.51352386858476850111,2,2
UBERON:0001004,respiratory system,sc_bulk,Right anterior basal bronchopulmonary segment,Right superior bronchopulmonary segment,0.47626930868351095622,14,4
UBERON:0001004,respiratory system,sc_bulk,Medial bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.50875068254987260467,50,14
UBERON:0001004,respiratory system,sc_bulk,Lateral bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.512367613605072719,31,14
UBERON:0001004,respiratory system,sc_bulk,Right anterior bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.48549881002975477667,18,14
UBERON:0001004,respiratory system,sc_bulk,Right posterior bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.50469865531922863178,13,14
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Right anterior basal bronchopulmonary segment,0.435652649998247027,3,14
UBERON:0001004,respiratory system,sc_bulk,right lung hilus,Right anterior basal bronchopulmonary segment,0.45177467601332134333,2,14
UBERON:0001004,respiratory system,sc_bulk,Medial bronchopulmonary segment,Right superior segmental bronchus,0.44872482079924345922,50,2
UBERON:0001004,respiratory system,sc_bulk,Right apical segmental bronchus,Right superior segmental bronchus,0.49618906593792462444,2,2
UBERON:0001004,respiratory system,sc_bulk,Lateral bronchopulmonary segment,Right superior segmental bronchus,0.47698703765747578678,31,2
UBERON:0001004,respiratory system,sc_bulk,Right superior bronchopulmonary segment,Right superior segmental bronchus,0.49662819779495646333,4,2
UBERON:0001004,respiratory system,sc_bulk,Right anterior bronchopulmonary segment,Right superior segmental bronchus,0.49956905723760136667,18,2
UBERON:0001004,respiratory system,sc_bulk,Lateral segmental bronchus,Right superior segmental bronchus,0.35274698724157305222,9,2
UBERON:0001004,respiratory system,sc_bulk,Right posterior bronchopulmonary segment,Right superior segmental bronchus,0.47068435697636032167,13,2
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Right superior segmental bronchus,0.37005227014796798267,3,2
UBERON:0001004,respiratory system,sc_bulk,Inferior lingular bronchopulmonary segment,Right superior segmental bronchus,0.36180338457850612078,5,2
UBERON:0001004,respiratory system,sc_bulk,Right apical bronchopulmonary segment,Right superior segmental bronchus,0.42183082689826546111,7,2
UBERON:0001004,respiratory system,sc_bulk,Right anterior segmental bronchus,Right superior segmental bronchus,0.47917495453008000111,2,2
UBERON:0001004,respiratory system,sc_bulk,right lung hilus,Superior lingular bronchus,0.48344185435292226778,2,2
UBERON:0001004,respiratory system,sc_bulk,Medial bronchopulmonary segment,Left posterior bronchopulmonary segment,0.48940673661689711244,50,8
