dataset,reported_organ,tool,modality,as,pct_hra_ct_overlap
http://purl.org/ccf/1.5/43e195fb-0f50-4b67-bff1-b74f68290fc6,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.2
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002116,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14966,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001156,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001052,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14929,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001158,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001157,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002115,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14930,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001153,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001159,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002194,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010397,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002097,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14928,1
http://purl.org/ccf/1.5/44bacb5a-0cd8-4a88-9c93-490255a6b6f2,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0006082,1
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001156,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001052,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14929,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001157,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001159,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002116,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14966,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001153,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001158,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002097,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0006082,0.83333333333333333333
