organId,organ,sex,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0001004,respiratory system,Female,sc_bulk,Right anterior basal bronchopulmonary segment,Lateral segmental bronchus,0.39012143323158065167,14,9
UBERON:0001004,respiratory system,Female,sc_bulk,Right apical bronchopulmonary segment,Lateral segmental bronchus,0.320340485665903816,7,9
UBERON:0001004,respiratory system,Male,sc_bulk,Left apical bronchopulmonary segment,Lateral segmental bronchus,0.45746579797267282778,11,9
UBERON:0001004,respiratory system,Female,sc_bulk,Right superior bronchopulmonary segment,Lateral segmental bronchus,0.42234839416516056333,4,9
UBERON:0001004,respiratory system,Female,sc_bulk,Right apical segmental bronchus,Lateral segmental bronchus,0.33075897955737615889,2,9
UBERON:0001004,respiratory system,Female,sc_bulk,Right anterior bronchopulmonary segment,Lateral segmental bronchus,0.42676380773824629333,18,9
UBERON:0001004,respiratory system,Male,sc_bulk,Right anterior bronchopulmonary segment,Lateral segmental bronchus,0.41480349584319435,18,9
UBERON:0001004,respiratory system,Female,sc_bulk,Medial bronchopulmonary segment,Lateral segmental bronchus,0.45800399185874644289,50,9
UBERON:0001004,respiratory system,Male,sc_bulk,Medial bronchopulmonary segment,Lateral segmental bronchus,0.41549405429360855,50,9
UBERON:0000948,heart,Female,sc_bulk,right cardiac atrium,left cardiac atrium,0.3970157182979388,16,14
UBERON:0000948,heart,Male,sc_bulk,right cardiac atrium,left cardiac atrium,0.43014787349477895,16,14
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,medulla of lymph node,efferent lymphatic vessel,0.9978411802418908,3,3
UBERON:0001004,respiratory system,Female,sc_bulk,right lung hilus,Right superior bronchopulmonary segment,0.52947494338438336,2,4
UBERON:0001004,respiratory system,Female,sc_bulk,Right posterior bronchopulmonary segment,Right superior bronchopulmonary segment,0.50376425348053204111,13,4
UBERON:0001004,respiratory system,Female,sc_bulk,Right anterior basal bronchopulmonary segment,Right superior bronchopulmonary segment,0.47626930868351095622,14,4
UBERON:0001004,respiratory system,Female,sc_bulk,Right apical bronchopulmonary segment,Right superior bronchopulmonary segment,0.42270465332498009778,7,4
UBERON:0001004,respiratory system,Female,sc_bulk,Right anterior bronchopulmonary segment,Right superior bronchopulmonary segment,0.54453056509097116556,18,4
UBERON:0001004,respiratory system,Female,sc_bulk,Medial bronchopulmonary segment,Right superior bronchopulmonary segment,0.49824165155052600556,50,4
UBERON:0001004,respiratory system,Female,sc_bulk,Lateral bronchopulmonary segment,Right superior bronchopulmonary segment,0.47094381874473569667,31,4
UBERON:0000948,heart,Male,sc_bulk,right cardiac atrium,heart right ventricle,0.3677798499287433,16,29
UBERON:0000948,heart,Female,sc_bulk,right cardiac atrium,heart right ventricle,0.274833877275597213,16,29
UBERON:0000948,heart,Male,sc_bulk,left cardiac atrium,heart right ventricle,0.3022424790733691,14,29
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,capsule of lymph node,lymph node T cell domain,0.9999585317544123,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,efferent lymphatic vessel,lymph node follicle,0.9966633366566555,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,capsule of lymph node,lymph node follicle,0.999953003102368,3,3
UBERON:0000948,heart,Female,sc_bulk,heart right ventricle,heart left ventricle,0.4642049902924334,29,70
UBERON:0001004,respiratory system,Female,sc_bulk,Lateral bronchopulmonary segment,Lateral segmental bronchus,0.41013456583560094011,31,9
UBERON:0001004,respiratory system,Male,sc_bulk,Lateral bronchopulmonary segment,Lateral segmental bronchus,0.42039732362681845889,31,9
UBERON:0001004,respiratory system,Female,sc_bulk,Right anterior segmental bronchus,Lateral segmental bronchus,0.44464359626852356778,2,9
UBERON:0001004,respiratory system,Male,sc_bulk,Left posterior bronchopulmonary segment,Lateral segmental bronchus,0.41144521257450986444,8,9
UBERON:0001004,respiratory system,Male,sc_bulk,left lung hilus,Left anterior segmental bronchus,0.44653241184430725408,3,7
UBERON:0001004,respiratory system,Male,sc_bulk,Inferior lingular bronchopulmonary segment,Left anterior segmental bronchus,0.40005895099845318978,5,7
UBERON:0001004,respiratory system,Male,sc_bulk,Superior lingular bronchopulmonary segment,Left anterior segmental bronchus,0.43989664844852320822,9,7
UBERON:0001004,respiratory system,Male,sc_bulk,Left anterior bronchopulmonary segment,Left anterior segmental bronchus,0.46490735717149845867,13,7
UBERON:0001004,respiratory system,Male,sc_bulk,Right posterior bronchopulmonary segment,Left anterior segmental bronchus,0.38986688887615330367,13,7
UBERON:0001004,respiratory system,Male,sc_bulk,Left apical bronchopulmonary segment,Left anterior segmental bronchus,0.38909756577328628056,11,7
UBERON:0001004,respiratory system,Male,sc_bulk,Lateral segmental bronchus,Left anterior segmental bronchus,0.30541623924291558333,9,7
UBERON:0001004,respiratory system,Male,sc_bulk,Right anterior bronchopulmonary segment,Left anterior segmental bronchus,0.409233207143281004,18,7
UBERON:0001004,respiratory system,Male,sc_bulk,Medial bronchopulmonary segment,Left anterior segmental bronchus,0.44078102521631896467,50,7
UBERON:0001004,respiratory system,Male,sc_bulk,Lateral bronchopulmonary segment,Left anterior segmental bronchus,0.43949556586481599367,31,7
UBERON:0001004,respiratory system,Male,sc_bulk,Left apical segmental bronchus,Left anterior segmental bronchus,0.41372415638583954278,9,7
UBERON:0001004,respiratory system,Male,sc_bulk,Right superior segmental bronchus,Left anterior segmental bronchus,0.38986688887615333256,2,7
UBERON:0001004,respiratory system,Male,sc_bulk,Left posterior bronchopulmonary segment,Left anterior segmental bronchus,0.41600205579748147444,8,7
UBERON:0001004,respiratory system,Female,sc_bulk,right lung hilus,Right anterior segmental bronchus,0.50862745655712700,2,2
UBERON:0002108,small intestine,Female,sc_bulk,ileum,Superior part of duodenum,0.9972476259155119,5,6
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,efferent lymphatic vessel,lymph node T cell domain,0.9980217488994364,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,medulla of lymph node,lymph node T cell domain,0.9999960534487514,3,3
UBERON:0001004,respiratory system,Female,sc_bulk,Right posterior bronchopulmonary segment,Right anterior bronchopulmonary segment,0.50920038173488399733,13,18
UBERON:0001004,respiratory system,Male,sc_bulk,Right posterior bronchopulmonary segment,Right anterior bronchopulmonary segment,0.50300935611158987,13,18
UBERON:0001004,respiratory system,Female,sc_bulk,Right apical bronchopulmonary segment,Right anterior bronchopulmonary segment,0.43009778368171288556,7,18
UBERON:0001004,respiratory system,Male,sc_bulk,left lung hilus,Lateral segmental bronchus,0.28967742687998994622,3,9
UBERON:0001004,respiratory system,Female,sc_bulk,Right posterior bronchopulmonary segment,Right anterior segmental bronchus,0.51719830965858361167,13,2
UBERON:0001004,respiratory system,Female,sc_bulk,Right anterior basal bronchopulmonary segment,Right anterior segmental bronchus,0.49423550262620030333,14,2
UBERON:0001004,respiratory system,Female,sc_bulk,Right apical bronchopulmonary segment,Right anterior segmental bronchus,0.42957271581958915533,7,2
UBERON:0001004,respiratory system,Female,sc_bulk,Right superior bronchopulmonary segment,Right anterior segmental bronchus,0.54332756160825850222,4,2
UBERON:0001004,respiratory system,Female,sc_bulk,Right apical segmental bronchus,Right anterior segmental bronchus,0.45460020749092109333,2,2
UBERON:0001004,respiratory system,Female,sc_bulk,Right anterior bronchopulmonary segment,Right anterior segmental bronchus,0.54741428252609294889,18,2
UBERON:0001004,respiratory system,Female,sc_bulk,Medial bronchopulmonary segment,Right anterior segmental bronchus,0.52996192681428403444,50,2
UBERON:0001004,respiratory system,Female,sc_bulk,Lateral bronchopulmonary segment,Right anterior segmental bronchus,0.49656491524066306944,31,2
UBERON:0001004,respiratory system,Female,sc_bulk,right lung hilus,Right apical bronchopulmonary segment,0.411962375653166957,2,7
UBERON:0000948,heart,Female,sc_bulk,left cardiac atrium,heart right ventricle,0.27296428535900447,14,29
UBERON:0002106,spleen,Female,sc_bulk,hilum of spleen,Diaphragmatic surface of spleen,0.9999999999999998,6,11
UBERON:0002106,spleen,Male,sc_bulk,hilum of spleen,Diaphragmatic surface of spleen,0.954670912528831,6,11
UBERON:0000079,male reproductive system,Male,sc_bulk,peripheral zone of prostate,central zone of prostate,1,4,4
UBERON:0002107,liver,Male,sc_bulk,capsule of liver,Gastric impression of liver,0.579815562377092885,2,2
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,medulla of lymph node,capsule of lymph node,0.9999801707407839,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,capsule of lymph node,efferent lymphatic vessel,0.9974078183295859,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,lymph vasculature,efferent lymphatic vessel,0.9951453925945152,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,lymph vasculature,lymph node T cell domain,0.9993641017087578,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,medulla of lymph node,lymph node follicle,0.9998721212730312,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,lymph vasculature,lymph node follicle,0.9998578383186908,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,lymph node T cell domain,lymph node follicle,0.9998232465414193,3,3
UBERON:0002107,liver,Male,sc_bulk,Gastric impression of liver,Diaphragmatic surface of liver,0.5798155623770928275,2,2
UBERON:0002107,liver,Male,sc_bulk,capsule of liver,Diaphragmatic surface of liver,0.57981556237709278,2,2
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,medulla of lymph node,lymph vasculature,0.9994603335587884,3,3
UBERON:0002509,mesenteric lymph node,Male,sc_bulk,capsule of lymph node,lymph vasculature,0.9996473791315121,3,3
