dataset,rui_location,as_label,as_id,organId,organ_label,refOrgan,refOrganAs
https://entity.api.hubmapconsortium.org/entities/704d16116f29994ab0e714f4afdb5516,http://purl.org/ccf/1.5/f66f91f9-c6c5-414d-b784-2faec33e0505,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004539,right kidney,http://purl.org/ccf/latest/ccf.owl#VHFRightKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/72b0dc83701c045d954b457baed40697,http://purl.org/ccf/1.5/314450f7-0477-4152-b4d6-cb474cbc0cd7,skin,http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,http://purl.org/ccf/latest/ccf.owl#VHMSkin,http://purl.obolibrary.org/obo/UBERON_0002097
https://entity.api.hubmapconsortium.org/entities/739184f7ec84d93a35360cde81cc026c,http://purl.org/ccf/1.5/f66f91f9-c6c5-414d-b784-2faec33e0505,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004539,right kidney,http://purl.org/ccf/latest/ccf.owl#VHFRightKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/7646a8a89555a123a56446b66c183d58,http://purl.org/ccf/1.5/8d126897-60f6-433e-a56b-cbe730475742,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002189
https://entity.api.hubmapconsortium.org/entities/79f087ae551dd72997f174646bb0d5e0,http://purl.org/ccf/1.5/fd4fcec2-93c3-428f-ad3a-6c7ac4196da0,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7361
https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734,http://purl.org/ccf/1.5/f9e28182-3ed3-4a3f-bd45-66ebce1efafb,descending colon,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,http://purl.org/ccf/latest/ccf.owl#VHFColon,http://purl.obolibrary.org/obo/UBERON_0001158
https://entity.api.hubmapconsortium.org/entities/846e56ed969922f1cb7a81619b175620,http://purl.org/ccf/1.5/8b652088-8c73-466d-b59c-3fbb8c01e399,sigmoid colon,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,http://purl.org/ccf/latest/ccf.owl#VHFColon,http://purl.obolibrary.org/obo/UBERON_0001159
https://entity.api.hubmapconsortium.org/entities/84db9a72aba9ae0ef740192ad8747ee3,http://purl.org/ccf/1.5/d662fd53-e925-4921-8d8b-bc91eed1519b,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/85fa094cbdb29173e0a3463dce0790fc,http://purl.org/ccf/1.5/d51b9d67-837f-4451-a6c6-0b63c7879736,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/8b65acdfecc504e9a96c84643c3ab02c,http://purl.org/ccf/1.5/16e98d8c-8983-48c2-bb41-7b1cfbbf2e4a,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,http://purl.obolibrary.org/obo/UBERON_0000948,heart,http://purl.org/ccf/latest/ccf.owl#VHFHeart,http://purl.obolibrary.org/obo/UBERON_0002084
https://entity.api.hubmapconsortium.org/entities/8df15cb20f5e127d102a73d0ec5682a0,http://purl.org/ccf/1.5/d662fd53-e925-4921-8d8b-bc91eed1519b,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/9305d53ae8c0dd565a088cd45f20e0c8,http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7361
https://entity.api.hubmapconsortium.org/entities/9457860c1b69f7ec3e51a6b648eabf13,http://purl.org/ccf/1.5/26edd761-8b50-453c-9b03-2337806c9e3a,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/949827f25f423d54663f09596351795d,http://purl.org/ccf/1.5/26edd761-8b50-453c-9b03-2337806c9e3a,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/9aed52d22e30b893045fd1f79b3663fb,http://purl.org/ccf/1.5/d51b9d67-837f-4451-a6c6-0b63c7879736,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/9b99c75de2347b9567e33065108488e8,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,renal column,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0001284
https://entity.api.hubmapconsortium.org/entities/9b99c75de2347b9567e33065108488e8,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/9b99c75de2347b9567e33065108488e8,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002189
https://entity.api.hubmapconsortium.org/entities/a39fed027b51d97f83cec90c63c44744,http://purl.org/ccf/1.5/95190b47-b491-448a-8e9b-06d804bf2aa1,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b,http://purl.org/ccf/1.5/aab5a316-7fbc-4a57-8b3a-3fc1958c5292,descending colon,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,http://purl.org/ccf/latest/ccf.owl#VHFColon,http://purl.obolibrary.org/obo/UBERON_0001158
https://entity.api.hubmapconsortium.org/entities/a95f2c79bb637141f7e6874eddc8e274,http://purl.org/ccf/1.5/f66f91f9-c6c5-414d-b784-2faec33e0505,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004539,right kidney,http://purl.org/ccf/latest/ccf.owl#VHFRightKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/aa93e53df10842c13348a334c8fe423f,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,renal column,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0001284
