sex,modality,unique_cell_type_count,cell_count
Male,sc_bulk,315,15927999
Male,sc_proteomics,29,2061512
Female,sc_bulk,310,6227220
Female,sc_proteomics,29,555082
Female,sc_transcriptomics,41,27278
