spatial_entity,slice_count
http://purl.org/ccf/1.5/fca3f0de-4c85-48aa-82b6-ef0c9285a2c8,1
http://purl.org/ccf/1.5/1f959974-4f3c-4023-a1af-6e5172d89f2c,1
http://purl.org/ccf/1.5/2f0bc1c1-551b-46d8-bd70-c77ac180ab7c,1
http://purl.org/ccf/1.5/c7ed4142-ddad-4cf5-b83b-dd431927bad5,1
http://purl.org/ccf/1.5/fc556dba-cfb0-490d-913b-d76717762142,1
http://purl.org/ccf/1.5/513a5005-f9e5-4a00-a08a-15b5d47c5ea0,2
http://purl.org/ccf/1.5/d498378e-8682-45f3-9bfd-11b48023125c,2
http://purl.org/ccf/1.5/16cf6a02-899d-417b-ab6e-6c24076edef6,2
http://purl.org/ccf/1.5/28a244d2-7a63-4319-aca0-5de6540e71a3,2
http://purl.org/ccf/1.5/434b6437-7c44-4c14-8538-4c3538cb90df,2
http://purl.org/ccf/1.5/4c2ecb3a-ec29-4198-ace6-71a7a0e62b32,2
http://purl.org/ccf/1.5/57eaed63-6c16-4454-9561-b34894839f1b,2
http://purl.org/ccf/1.5/58e2f655-61e7-4d7f-a01b-704ddb7ba544,2
http://purl.org/ccf/1.5/a0d6ecb6-29e8-4588-bb73-bb032702dde3,2
http://purl.org/ccf/1.5/de69a4db-04d8-4533-9296-e84a22dbdfea,2
http://purl.org/ccf/1.5/018145b1-cfa7-444f-8b81-d25a3d599c9b,2
http://purl.org/ccf/1.5/06145edb-ca9f-4389-b7ac-4cfdb6985bba,2
http://purl.org/ccf/1.5/162614ac-370e-4365-8002-70bda350084b,2
http://purl.org/ccf/1.5/448abbcf-b228-4152-afc9-105d3d197eba,2
http://purl.org/ccf/1.5/5be19716-6590-407e-93d0-823103c9be61,2
http://purl.org/ccf/1.5/b2e60d01-2c57-4f70-8ca4-8b05934e064f,2
http://purl.org/ccf/1.5/edb30a87-8d25-456d-b096-32a7449bf965,2
http://purl.org/ccf/1.5/fc1c642a-9430-4ce5-b2c1-5ceb37c94d24,2
http://purl.org/ccf/1.5/e30fdc54-9fd4-4b57-ad9f-1c121c9c9a1c,3
http://purl.org/ccf/1.5/4ec91c30-6eed-4b89-ba3f-941add225c63,3
http://purl.org/ccf/1.5/8197a969-c010-4e5b-bc97-e2e3ca44d816,3
http://purl.org/ccf/1.5/93c94504-6842-4115-a296-877507d1f052,3
http://purl.org/ccf/1.5/e138c7bc-1a53-463b-a62b-d2728ffbec80,3
http://purl.org/ccf/1.5/00d70bfc-b477-4131-a9ef-b0d0945ceffa,3
http://purl.org/ccf/1.5/0d259343-bb9b-4ed9-b4af-e298893bf2a4,3
http://purl.org/ccf/1.5/0daa56a0-f534-415a-8e60-e299fd540030,3
http://purl.org/ccf/1.5/1024fef2-b7a4-4160-aacf-a8774e65fcca,3
