sex,donor,consortium_name
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#356C,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#390C,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#D322,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#D337,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#D344,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#D353,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#D363,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/2f75d249-1bec-459b-bf2b-b86221097ced#D372,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2063,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2064,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2067,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2068,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2073,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2077,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2078,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2079,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2081,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2082,CxG
