consortium,dataset_count,atlas_dataset_count,test_dataset_count,excluded_dataset_count,no_rui_dataset_count,no_summary_dataset_count
Allen Institute for Brain Science,10,0,10,0,0,10
Azimuth,37,0,37,0,0,37
CxG,12017,0,8452,3565,12017,3565
DISCO,21311,0,8579,12732,21311,12732
GTEx,74,14,60,0,9,51
GUDMAP,12,0,12,0,0,12
HCA,761,121,282,358,545,440
"HIRN, ESPACE",1,0,1,0,0,1
HOA,1,0,1,0,0,1
HRA,1,0,1,0,0,1
HTAN,31,31,0,0,0,0
HuBMAP,9126,510,8596,20,14,8615
Human Cell Atlas,124,0,124,0,0,124
KPMP,773,0,749,24,0,773
LungMap,9,0,0,9,9,9
NHLBI/LungMap,10,3,1,6,0,7
SEA-AD,1,0,0,1,1,1
SPARC,50,0,50,0,0,50
SenNet,3018,128,2821,69,39,2876
UEdinburgh,64,0,64,0,0,64
UIowa,43,0,43,0,0,43
University of British Columbia,27,0,27,0,0,27
University of California San Francisco,60,0,60,0,0,60
University of Toronto,12,0,12,0,0,12
