tool,cell_id,cell_label,cell_count,gene_id,gene_label,gene_expr,dataset
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000646,Basal cell of bladder,382,ASCTB-TEMP:anxa10,ANXA10,0.7172774869109948,https://www.immunesinglecell.com/sample/GSM6090439
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,15,ASCTB-TEMP:anxa10,ANXA10,0.4666666666666667,https://www.immunesinglecell.com/sample/CRX030769
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,5,ASCTB-TEMP:anxa10,ANXA10,1.2,https://www.immunesinglecell.com/sample/GSM5351382
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002293,Thymic myoid cell,4,ASCTB-TEMP:anxa10,ANXA10,0.25,https://www.immunesinglecell.com/sample/GSM8193974
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,12,ASCTB-TEMP:anxa10,ANXA10,1.666666666666667,https://www.immunesinglecell.com/sample/GSM7500378
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000646,Basal cell of bladder,3,ASCTB-TEMP:anxa10,ANXA10,0.3333333333333333,https://www.immunesinglecell.com/sample/GSM7500388
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000740,Ganglion cell,3,ASCTB-TEMP:anxa10,ANXA10,0.3333333333333333,https://www.immunesinglecell.com/sample/GSM8152402
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,19,ASCTB-TEMP:anxa10,ANXA10,1.789473684210526,https://www.immunesinglecell.com/sample/GSM7500393
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000682,Microfold cell,4,ASCTB-TEMP:anxa10,ANXA10,1,https://www.immunesinglecell.com/sample/GSM7500393
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,255,ASCTB-TEMP:anxa10,ANXA10,6.407843137254902,https://www.immunesinglecell.com/sample/GSM8517677
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,17,ASCTB-TEMP:anxa10,ANXA10,2.117647058823529,https://www.immunesinglecell.com/sample/GSM7500375
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,2,ASCTB-TEMP:anxa10,ANXA10,1,https://www.immunesinglecell.com/sample/GSM6914631
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,18,ASCTB-TEMP:anxa10,ANXA10,1.222222222222222,https://www.immunesinglecell.com/sample/GSM7500377
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000510,Paneth cell,27,ASCTB-TEMP:anxa10,ANXA10,2.296296296296297,https://www.immunesinglecell.com/sample/GSM8657814_HT434_4
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,389,ASCTB-TEMP:anxa10,ANXA10,0.4524421593830333,https://www.immunesinglecell.com/sample/GSM6090441
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0019031,Goblet cell,176,ASCTB-TEMP:anxa10,ANXA10,1.710227272727273,https://www.immunesinglecell.com/sample/GSM6090467
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,10,ASCTB-TEMP:anxa10,ANXA10,1.1,https://www.immunesinglecell.com/sample/GSM5928067
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,180,ASCTB-TEMP:anxa10,ANXA10,12.9,https://www.immunesinglecell.com/sample/GSM7966243
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,3,ASCTB-TEMP:anxa10,ANXA10,1,https://www.immunesinglecell.com/sample/GSM6601037
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000765,Late hemoglobin+ erythroblast,4,ASCTB-TEMP:anxa10,ANXA10,0.25,https://www.immunesinglecell.com/sample/GSM5818654
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,273,ASCTB-TEMP:anxa10,ANXA10,7.051282051282051,https://www.immunesinglecell.com/sample/GSM8657820_HT692
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,2269,ASCTB-TEMP:anxa10,ANXA10,0.9153812252093434,https://www.immunesinglecell.com/sample/GSM3954949
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,20,ASCTB-TEMP:anxa10,ANXA10,1.8,https://www.immunesinglecell.com/sample/GSM7500394
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_4023060,Hippocampal CA1-3 neuron,2,ASCTB-TEMP:anxa10,ANXA10,1,https://www.immunesinglecell.com/sample/GSM7976720
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,25,ASCTB-TEMP:anxa10,ANXA10,2.08,https://www.immunesinglecell.com/sample/GSM6090430
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000646,Basal cell of bladder,6709,ASCTB-TEMP:anxa10,ANXA10,6.822626322849903,https://www.immunesinglecell.com/sample/GSM8329330
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,13,ASCTB-TEMP:anxa10,ANXA10,0.8461538461538461,https://www.immunesinglecell.com/sample/GSM5928066
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,419,ASCTB-TEMP:anxa10,ANXA10,1.393794749403342,https://www.immunesinglecell.com/sample/GSM4008653
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,15,ASCTB-TEMP:anxa10,ANXA10,3.266666666666667,https://www.immunesinglecell.com/sample/CRX030774
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,102,HGNC:534,ANXA10,2.578431372549019,https://api.cellxgene.cziscience.com/dp/v1/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc#A34%20(417C)$duodenum
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000037,HSC,3,ASCTB-TEMP:anxa10,ANXA10,1,https://www.immunesinglecell.com/sample/GSM5335504
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,54,ASCTB-TEMP:anxa10,ANXA10,10.83333333333333,https://www.immunesinglecell.com/sample/GSM8517682
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,50,ASCTB-TEMP:anxa10,ANXA10,3.86,https://www.immunesinglecell.com/sample/GSM8020619
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,2,ASCTB-TEMP:anxa10,ANXA10,18,https://www.immunesinglecell.com/sample/GSM8636309
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000584,Enterocyte,4,ASCTB-TEMP:anxa10,ANXA10,0.75,https://www.immunesinglecell.com/sample/GSM7500449
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,27,HGNC:534,ANXA10,42.22222222222221,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Beumer_Cell_2020_Duo$duodenum
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000066,Ciliary body cell,130,ASCTB-TEMP:anxa10,ANXA10,0.06923076923076923,https://www.immunesinglecell.com/sample/GSM6911578
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,36,HGNC:534,ANXA10,7.472222222222221,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Holloway_CellStemCell_2021_hITD_EGF_day132_S91$duodenum
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,5,ASCTB-TEMP:anxa10,ANXA10,0.6000000000000001,https://www.immunesinglecell.com/sample/GSM6727551
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,17,ASCTB-TEMP:anxa10,ANXA10,3.823529411764706,https://www.immunesinglecell.com/sample/GSM6567163
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000646,Basal cell of bladder,9,ASCTB-TEMP:anxa10,ANXA10,0.5555555555555556,https://www.immunesinglecell.com/sample/GSM6914629
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,3357,ASCTB-TEMP:anxa10,ANXA10,4.961274947870121,https://www.immunesinglecell.com/sample/GSM7966240
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,17,ASCTB-TEMP:anxa10,ANXA10,2.823529411764706,https://www.immunesinglecell.com/sample/GSM6533097
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,321,HGNC:534,ANXA10,9.12461059190031,https://api.cellxgene.cziscience.com/dp/v1/collections/f30e0bf7-7b03-44b0-b312-cda799ef0240#IoC_donor1$intestinal%20mucosa
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,2,HGNC:534,ANXA10,2,https://api.cellxgene.cziscience.com/dp/v1/collections/5c868b6f-62c5-4532-9d7f-a346ad4b50a7#127693$ileal%20epithelium
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,1524,HGNC:534,ANXA10,0.4501312335958005,https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor11$stomach
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,829,HGNC:534,ANXA10,8.639324487334138,https://api.cellxgene.cziscience.com/dp/v1/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5#Pat22-B$stomach
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000155,Chief cell,2,HGNC:534,ANXA10,1,https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor25$duodenum
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,15,HGNC:534,ANXA10,1,https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor25$duodenum
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,815,HGNC:534,ANXA10,1.595092024539877,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Sarvestani_NatCommun_2021_CRL1541_iHNO$colon
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,5,HGNC:534,ANXA10,1,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P37$breast
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,907,HGNC:534,ANXA10,3.663726571113561,https://api.cellxgene.cziscience.com/dp/v1/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5#Pat19$pylorus
