sex,dataset,technology,description,annotation_method,unique_cell_type_count
Female,https://entity.api.hubmapconsortium.org/entities/00d1a3623dac388773bc7780fcb42797,CODEX,Dataset Type: CODEX,sc_proteomics,11
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",azimuth,19
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",celltypist,30
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$right%20cardiac%20atrium,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,44
Male,https://entity.api.hubmapconsortium.org/entities/e488c9a612abf6fedef3cea5e7bb6141,RNAseq,Dataset Type: RNAseq [Salmon],frmatch,50
Male,https://entity.api.hubmapconsortium.org/entities/e488c9a612abf6fedef3cea5e7bb6141,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,49
Female,https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,72
Male,https://entity.api.hubmapconsortium.org/entities/ec8f9880b5dda90c3c6017ba670097a9,CODEX,Dataset Type: CODEX,sc_proteomics,22
Female,https://entity.api.hubmapconsortium.org/entities/f2647d9533956fdb12da6b1fc6254441,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,64
Female,https://entity.api.hubmapconsortium.org/entities/f2647d9533956fdb12da6b1fc6254441,RNAseq,Dataset Type: RNAseq [Salmon],popv,15
Female,https://entity.api.hubmapconsortium.org/entities/f2647d9533956fdb12da6b1fc6254441,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,16
Female,https://entity.api.hubmapconsortium.org/entities/fd0b0c1d050010de3520492147aacef4,Slide-seq,Dataset Type: Slide-seq [Salmon],pan-human-azimuth,36
Male,https://entity.api.hubmapconsortium.org/entities/f3256b912f001d1b58877100b96e38a2,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,74
Male,https://entity.api.hubmapconsortium.org/entities/fb94e862fe33f171de6e07d2d207d0de,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,21
Male,https://entity.api.hubmapconsortium.org/entities/fb94e862fe33f171de6e07d2d207d0de,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,12
Male,https://entity.api.hubmapconsortium.org/entities/e488c9a612abf6fedef3cea5e7bb6141,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,31
Male,https://entity.api.hubmapconsortium.org/entities/e488c9a612abf6fedef3cea5e7bb6141,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,48
Male,https://entity.api.hubmapconsortium.org/entities/b299e98235f157534445f00884ae7c44,RNAseq,Dataset Type: RNAseq [Salmon],popv,12
Male,https://entity.api.hubmapconsortium.org/entities/b299e98235f157534445f00884ae7c44,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,18
Male,https://entity.api.hubmapconsortium.org/entities/319aafd9420a0c1c6f175d6a2ef060a9,RNAseq,Dataset Type: RNAseq [Salmon],popv,14
Male,https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,27
Male,https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,50
Male,https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,RNAseq,Dataset Type: RNAseq [Salmon],frmatch,52
Male,https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,38
Male,https://entity.api.hubmapconsortium.org/entities/84db9a72aba9ae0ef740192ad8747ee3,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,33
Male,https://entity.api.hubmapconsortium.org/entities/84db9a72aba9ae0ef740192ad8747ee3,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,53
Male,https://entity.api.hubmapconsortium.org/entities/319aafd9420a0c1c6f175d6a2ef060a9,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,13
Male,https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,RNAseq,Dataset Type: RNAseq [Salmon],popv,30
