sex,dataset,technology,description,annotation_method,unique_cell_type_count
,https://entity.api.hubmapconsortium.org/entities/bb83107bfacd198898d1b709d5c54759,LC,Dataset Type: LC-MS,,0
,https://entity.api.hubmapconsortium.org/entities/bba1f664447f3bf1bccb0b6ebf2f61ad,Slide-seq,Dataset Type: Slide-seq [Salmon],,0
,https://entity.api.hubmapconsortium.org/entities/bbab5449e7476eb6b52cbb632980aa2b,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.hubmapconsortium.org/entities/bbab5b5c284449625fc21bc79dc54bd9,SNARE-seq2,Dataset Type: SNARE-seq2,,0
,https://entity.api.hubmapconsortium.org/entities/bbbf5a5b29986dd57910daab00193f35,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.hubmapconsortium.org/entities/bbc2fcbd0afc61d63045dd73326fce91,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.hubmapconsortium.org/entities/bbde510c8f3ddca100a6bf2c7385d2c8,SNARE-seq2,Dataset Type: SNARE-seq2,,0
,https://entity.api.hubmapconsortium.org/entities/bbdef5d47e680c8467ce28bc83497d4e,MALDI,Dataset Type: MALDI,,0
,https://entity.api.hubmapconsortium.org/entities/bbe4ef1174fb60eb99e578f5c2576bee,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/bbe9f1a95a61f32656ed4452fed9d424,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.hubmapconsortium.org/entities/bbea4e31e70c89383bc70c1c74bf2277,AF,Dataset Type: Auto-fluorescence [Image Pyramid],,0
,https://entity.api.hubmapconsortium.org/entities/bc26df5c01b624841a51e60cd8229c51,Slide-seq,Dataset Type: Slide-seq [Salmon],,0
,https://entity.api.hubmapconsortium.org/entities/bc36e4a2a3f32a53a620f111d040569a,SNARE-seq2,Dataset Type: SNARE-seq2,,0
,https://entity.api.hubmapconsortium.org/entities/bc4137f1180c9e0f4f8e07205d91fbd2,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.hubmapconsortium.org/entities/bc5512542e0e0c96a34962c23f89726a,MALDI,Dataset Type: MALDI,,0
,https://entity.api.hubmapconsortium.org/entities/bc64a88cfa2c1e8d6b5f114aa4b6e342,CODEX,"Data/Assay Types: CODEX, ",,0
,https://entity.api.hubmapconsortium.org/entities/bc68fe67a089ab19c1449de6d0703d71,CODEX,Dataset Type: CODEX [Cytokit + SPRM],,0
,https://entity.api.hubmapconsortium.org/entities/bc7df2c9e2cb4236c521c288bc701320,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/bc82d6b0dfe69e141bc68c98659e3221,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/bc875d49ed4aaa112398aa32160d88c8,Light Sheet,Dataset Type: Light Sheet [Image Pyramid],,0
,https://entity.api.hubmapconsortium.org/entities/bc8c0756a76ffcd899151ffe70e4ad3f,ATACseq,Dataset Type: ATACseq [SnapATAC],,0
,https://entity.api.hubmapconsortium.org/entities/bc8d26e39a39e03365c7952a2cd8ff59,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/bca0d1d7fcb2bdcde16a31d1484e83e5,Slide-seq,Dataset Type: Slide-seq [Salmon],,0
,https://entity.api.hubmapconsortium.org/entities/bca3d31804ecc8be096d0b7691419335,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/bcb03712ba59d70884b49239873cab9d,Histology,Dataset Type: Histology,,0
,https://entity.api.hubmapconsortium.org/entities/7e94b6bdfe3bfcbbe065420c0391b2a8,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/7ea2363192933bb1e7136b7f00a1d226,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/7ead905ab166404a0544c53ccc311f41,IMC,Dataset Type: 2D Imaging Mass Cytometry,,0
,https://entity.api.hubmapconsortium.org/entities/7eb2b56dc2f3f745029d9850528611e9,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.hubmapconsortium.org/entities/7ede2efa49ae0dc50c9cb8afb276ebe4,AF,Dataset Type: Auto-fluorescence,,0
,https://entity.api.hubmapconsortium.org/entities/7eea0c4c41745d2d54f9796bc5b57d79,CODEX,Dataset Type: CODEX [Cytokit + SPRM],,0
,https://entity.api.hubmapconsortium.org/entities/7eef1634020f429f9855ff319ff0c65e,Histology,Dataset Type: Histology,,0
,https://entity.api.hubmapconsortium.org/entities/7efa5f4119b2effa97becff2e3104bab,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/7efde9267801f3e64dba9854095b938c,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/7f0e5c10babfa368c9fbaff2e52f79f4,seqFISH,Dataset Type: seqFISH [Lab Processed],,0
,https://entity.api.hubmapconsortium.org/entities/7f19eb77a2294eef7d2ea7e3b4209068,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.hubmapconsortium.org/entities/7f1fd7b9c8c3745fcab037a2fa37f5b9,LC,Dataset Type: LC-MS,,0
,https://entity.api.hubmapconsortium.org/entities/7f2cb2c636c752708a03792cc8db359d,ATACseq,Dataset Type: ATACseq,,0
,https://entity.api.hubmapconsortium.org/entities/7f431c9a617f94545a8aaf3836c57f51,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.hubmapconsortium.org/entities/7f539bf8404ff94e18a9af973a53b3f3,CODEX,Dataset Type: CODEX [Cytokit + SPRM],,0
,https://entity.api.hubmapconsortium.org/entities/7f6ca209803ea6a640f9de6c1cfce376,LC,Dataset Type: LC-MS,,0
,https://entity.api.hubmapconsortium.org/entities/7f81fa69ecf590ccf3ff1d2534f58cb2,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.hubmapconsortium.org/entities/7f89e537556bed564e674ff941a2fcb6,LC,Dataset Type: LC-MS,,0
,https://entity.api.hubmapconsortium.org/entities/7f9f50e179d33f10461676e957b32d4f,LC,Dataset Type: LC-MS,,0
,https://entity.api.hubmapconsortium.org/entities/7fa46d1b74c3f146f0cb7138b8ac690d,seqFISH,Dataset Type: seqFISH [Image Pyramid],,0
,https://entity.api.hubmapconsortium.org/entities/7fae3b98eb6047835d5c1011a2d63034,CODEX,Dataset Type: CODEX [Cytokit + SPRM],,0
,https://entity.api.hubmapconsortium.org/entities/7fb0d37cb45c6df057e6b7bb8375b6eb,AF,Dataset Type: Auto-fluorescence,,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2022-06-04_01h11m02s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2022-06-04_01h12m33s&row=10,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-02-17_02h51m29s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-02-17_02h53m27s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-02-17_02h54m40s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-02-17_21h54m01s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-02-17_21h54m59s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-02-17_21h57m08s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-04-15_01h15m59s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-04-15_01h16m45s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-04-15_01h17m26s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-05-26_22h00m03s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-05-26_22h01m31s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-12-20_03h13m31s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-12-20_03h14m34s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/annotations?db_id=353&prj=8f102fc4-62a8-11ec-89bf-bba413a122a2&ds=2023-12-20_03h15m05s,Spatial N-glycomics,"Data/Assay Types: Spatial N-glycomics, ",,0
,https://metaspace2020.eu/dataset/2021-08-26_23h56m49s,Spatial Lipidomics,"Data/Assay Types: Spatial Lipidomics, ",,0
,https://metaspace2020.eu/dataset/2021-08-26_23h57m14s,Spatial Lipidomics,"Data/Assay Types: Spatial Lipidomics, ",,0
,https://metaspace2020.eu/dataset/2021-08-26_23h57m42s,Spatial Lipidomics,"Data/Assay Types: Spatial Lipidomics, ",,0
,https://metaspace2020.eu/dataset/2021-08-26_23h58m12s,Spatial Lipidomics,"Data/Assay Types: Spatial Lipidomics, ",,0
,https://metaspace2020.eu/dataset/2021-08-26_23h58m54s,Spatial Lipidomics,"Data/Assay Types: Spatial Lipidomics, ",,0
,https://metaspace2020.eu/dataset/2021-08-26_23h59m30s,Spatial Lipidomics,"Data/Assay Types: Spatial Lipidomics, ",,0
,https://entity.api.sennetconsortium.org/entities/86d4d60bb8dd2eb8e0fdfb4a213ed897,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/87022f8e9b76288216ec06fe3766d84a,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8723d2bd9671743c9dcfca43a2728dcd,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/872bed924ffad2f8067d692f026ad74b,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/87371f5175398469f6333bcf5f6aca8c,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/8737cd9dac277a10450aa206dddafea3,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/876c1c88bef64f608e5e0d2ff4cc78cf,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/87bc62c56d86ed816c3e3001d51f638b,RNAseq,Dataset Type: RNAseq [Salmon],,0
,https://entity.api.sennetconsortium.org/entities/8849643f0ed2ea4c59766495f9f7d82d,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/885ce6ec51f190ffc91940058a5a57b6,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/886d20e9d3bed2dec61424271fdef965,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/887b335e15ae953e6c0b3df98b45ff92,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/887d06f86db1d281a4e922a63b7212fb,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/88cb3ba151bb10dbee2532fe2d351167,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/891344c0ca6d261efb8e26a5472659fd,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8994c57bf13d500582314ceb4639c1f7,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/899b2d030c6ec3dd4554ab376a640ec1,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8a2007d857217264cff62b27a7b82e3f,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/8a24669c9b127fb65a0f32040c216fe3,LC,Dataset Type: LC-MS,,0
,https://entity.api.sennetconsortium.org/entities/8a596152947a42746e0fcffabbdde395,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8a80602f129ac98c970ce785f244845b,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/8ac56887acdb9794615da92809ab7afe,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8ad51fb8a7cf86849afd9148ec25ee6c,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/8b09e8eb5bac1b3a13ca5e414575368b,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/8bb5421432a35a96d8132dff303b44d9,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8befb883cf8153b7e394bff24652024b,RNAseq,Dataset Type: RNAseq [Salmon],,0
,https://entity.api.sennetconsortium.org/entities/8c3a01d25ea42de18f57cdd3e6a7a4ac,PhenoCycler,Dataset Type: PhenoCycler,,0
,https://entity.api.sennetconsortium.org/entities/8c44ad9e551e29ece78000dac8af2cb9,LC,Dataset Type: LC-MS,,0
,https://entity.api.sennetconsortium.org/entities/8c4941878eff811a4363f8d442cc51d9,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/8c560b5a41f24d3cc30a535cb955afb9,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/8c772d2066d944c2b70e9d0a6e6c4fd0,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8d07a37984d62cfe593fed54236b9531,LC,Dataset Type: LC-MS,,0
,https://entity.api.sennetconsortium.org/entities/8d0a18dfe6762993b4f5b384e194c3c9,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/8d71f692033a325440ee02598e11f64a,LC,Dataset Type: LC-MS,,0
,https://entity.api.sennetconsortium.org/entities/8dde4d5467c2e6198b0382e5d3d0a572,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8e8a8478fc9c762b4a68e825e265de74,LC,Dataset Type: LC-MS,,0
,https://entity.api.sennetconsortium.org/entities/8ec9019c51612ecde4de25f9857d4abe,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8f37be92f6e195ffa7cc16e5710c2116,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/8f580a97901fe7adc034327a13ba1430,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/8f5a7c7e5e489e8e677585082da25211,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/8fa0c3aa60d00830211acfd1046dbcf7,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/8ff5265cf400af516f86205865b65a5c,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/9033c4f8b0598afb3b07d1c9a143a01e,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/904772c631a32bc4754165968089ef36,PhenoCycler,Dataset Type: PhenoCycler,,0
,https://entity.api.sennetconsortium.org/entities/907bce178070caa28b60a6c3ad552076,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/9097c959ce6a0a9350aee655afbbfbcd,PhenoCycler,Dataset Type: PhenoCycler,,0
,https://entity.api.sennetconsortium.org/entities/90a73ed7102a2cd85a91c4f35178fe06,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/90ae066d886b19a22cb29e7a068387d3,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/91ddce3542fa83cda3deecccacef04c0,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/91e4de9c058487c6765e6706a7c911b6,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/91ea2624521616aeded263d0b0477bb0,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/9227cc211eff440386fb0fac8668898c,LC,Dataset Type: LC-MS,,0
,https://entity.api.sennetconsortium.org/entities/922b15be95491724d416be3745bd622b,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/9239132c63092182a5773104cd48fad7,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/925830e5cfec3cbd9aa76cd0b5b3c16b,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/928a2d50a99fcec87e340c87943e6ae9,PhenoCycler,Dataset Type: PhenoCycler,,0
,https://entity.api.sennetconsortium.org/entities/92a42813afa0cbd8af0728c680eb4db8,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/92b4efeed1ec44fbdc97be6dfe30a883,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/92bd86d1af85d870d6c26514d72ab017,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/9308ba780c28d6273acac6d87b1f708d,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/9388e3bb33a71d41778f7e6545806a24,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/93936dd71cc0edd213d740788deba204,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/939c41432de4a7207999b9e0755833fc,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/939d20b209e54a21ad6e4fc60f1dbffb,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/93a553d5be82026c7505bc9c8ad596a6,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/93c809496bcc6479991ba891c7e631f7,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/93cb3553756eb22688bca35a14a47e50,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/93d80b2196653e4588f00db8d4073350,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/93dcd4d1e5bcc8144f8a96f773a1bd71,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/940ad735483d2ceaa3ea2fca5052dfa0,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/9423de18775304fb49d77ae2ab7f7de0,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/945826b99bec5c82cddf02d6031c1bb0,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/94877bd01b6dcbc1eb16cee372bfd0c6,LC,Dataset Type: LC-MS,,0
,https://entity.api.sennetconsortium.org/entities/949faaea8f3af241345d12904acd16ea,RNAseq,Dataset Type: RNAseq,,0
,https://entity.api.sennetconsortium.org/entities/94a651608fb531f7fa88fc1323bded53,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/94e4e739d45eced8c5b6fee05a0e5c8a,Histology,Dataset Type: Histology [Image Pyramid],,0
,https://entity.api.sennetconsortium.org/entities/94f7a70938a9c97f0e2ac1a4e3fb7b33,Histology,Dataset Type: Histology,,0
,https://entity.api.sennetconsortium.org/entities/94fda15ed1dd183959b4b507c1969b87,RNAseq,Dataset Type: RNAseq [Salmon],,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P37$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P38$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P39$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P40$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P41$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P42$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P43$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P44$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P45$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P46$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P47$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P48$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P49$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P50$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P51$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P52$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P53$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P54$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P55$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P56$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P57$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P58$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P59$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P60$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P61$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P62$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P63$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P64$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P65$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P66$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P67$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P68$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P69$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P70$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P71$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P72$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P73$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P74$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P75$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P76$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P77$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P78$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P79$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P80$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P81$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P82$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P83$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P84$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P85$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P86$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P87$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P88$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P89$breast,,,,0
,https://api.cellxgene.cziscience.com/dp/v1/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731#P90$breast,,,,0
