rui_location,organ,as_label,as_id,intersection_volume,as_volume,tissue_block_volume
http://purl.org/ccf/1.5/5fa952b1-a5a7-4089-bdc2-7208f71f45be,VHFSmallIntestine,superior part of duodenum,http://purl.org/sig/ont/fma/fma14926,35.1,6614.696747237637,1350
http://purl.org/ccf/1.5/5fa952b1-a5a7-4089-bdc2-7208f71f45be,VHFSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,43.2,4498.965831563491,1350
http://purl.org/ccf/1.5/74c8746d-be53-493d-9a2a-1edbe24f0d16,VHFSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,124.2,4974.074167058989,1350
http://purl.org/ccf/1.5/74c8746d-be53-493d-9a2a-1edbe24f0d16,VHFSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,68.85,2636.943136977779,1350
http://purl.org/ccf/1.5/9d795171-ba1f-4ae2-9b98-9a285280ebf6,VHFSmallIntestine,horizontal part of duodenum,http://purl.org/sig/ont/fma/fma14929,124.2,4974.074167058989,1350
http://purl.org/ccf/1.5/9d795171-ba1f-4ae2-9b98-9a285280ebf6,VHFSmallIntestine,ascending part of duodenum,http://purl.org/sig/ont/fma/fma14930,68.85,2636.943136977779,1350
http://purl.org/ccf/1.5/d1085194-4902-4252-95fd-faf03afd9288,VHFSmallIntestine,superior part of duodenum,http://purl.org/sig/ont/fma/fma14926,35.1,6614.696747237637,1350
http://purl.org/ccf/1.5/d1085194-4902-4252-95fd-faf03afd9288,VHFSmallIntestine,descending part of duodenum,http://purl.org/sig/ont/fma/fma14928,43.2,4498.965831563491,1350
http://purl.org/ccf/1.5/d194f593-af76-4ee7-84a6-00f7531d47cf,VHFSmallIntestine,jejunum,http://purl.obolibrary.org/obo/UBERON_0002115,139.04999999999998,32188.42710108468,1350
http://purl.org/ccf/1.5/d8c8faa2-7e2a-4b74-9531-cd08be659c10,VHFSmallIntestine,ileum,http://purl.obolibrary.org/obo/UBERON_0002116,8.1,48943.48376722476,1350
http://purl.org/ccf/1.5/d8c8faa2-7e2a-4b74-9531-cd08be659c10,VHFSmallIntestine,distal part of ileum,http://purl.org/sig/ont/fma/fma14966,360.45000000000005,4170.360444862809,1350
http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,VHMHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,3397.6319999999996,121604.2070274211,3584
http://purl.org/ccf/1.5/7296fad6-bf8e-49da-8f4a-ef76ee4cfeac,VHMHeart,right cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002078,705.76,27714.91711157488,1760
http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,VHMHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,2406.144,121604.2070274211,2496
http://purl.org/ccf/1.5/bb9dbc76-88b2-43ad-9401-e1e87424efa5,VHMHeart,left cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002079,4584.0,31346.0636820313,8000
http://purl.org/ccf/1.5/bb9dbc76-88b2-43ad-9401-e1e87424efa5,VHMHeart,aortic valve,http://purl.obolibrary.org/obo/UBERON_0002137,80.0,3027.459749680611,8000
http://purl.org/ccf/1.5/f1790d4b-bbc0-434c-b8ed-f21e8b8be903,VHMHeart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,1348.032,73988.45321948585,1904
http://purl.org/ccf/1.5/f6512db4-2809-4ffe-864d-ace61789dff6,VHMHeart,right cardiac atrium,http://purl.obolibrary.org/obo/UBERON_0002078,321.6,27714.91711157488,800
http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,VHMHeart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,838.3499999999999,121604.2070274211,2430
http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,VHMHeart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,765.45,73988.45321948585,2430
http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,VHMHeart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,1334.0700000000002,28091.8760666331,2430
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,VHMLargeIntestine,transverse colon,http://purl.obolibrary.org/obo/UBERON_0001157,2680.0,364972.6139651585,5000
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,VHMLargeIntestine,descending colon,http://purl.obolibrary.org/obo/UBERON_0001158,1450.0,119090.4126526517,5000
http://purl.org/ccf/1.5/2ae3cef9-6621-46da-b056-da7bfbadc13b,VHMLargeIntestine,sigmoid colon,http://purl.obolibrary.org/obo/UBERON_0001159,1150.0,80118.30615779269,5000
http://purl.org/ccf/1.5/2ae3cef9-6621-46da-b056-da7bfbadc13b,VHMLargeIntestine,rectum,http://purl.obolibrary.org/obo/UBERON_0001052,30.0,55500.59872139351,5000
http://purl.org/ccf/1.5/37248725-6ed5-4589-ac5a-9951d1a783e7,VHMLargeIntestine,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,1630.0,238660.6294253222,5000
http://purl.org/ccf/1.5/3b2cb9ee-2a6f-4fb3-bc1b-dbd192d3163c,VHMLargeIntestine,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,1630.0,238660.6294253222,5000
http://purl.org/ccf/1.5/3c695f26-b7ed-44ad-8e11-894932defa86,VHMLargeIntestine,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,1630.0,238660.6294253222,5000
http://purl.org/ccf/1.5/5df04f61-5fcc-4035-92c3-631f772a6ce0,VHMLargeIntestine,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,1630.0,238660.6294253222,5000
http://purl.org/ccf/1.5/6bbdd96b-5fae-406c-a0a5-8e20e1bd0d8e,VHMLargeIntestine,descending colon,http://purl.obolibrary.org/obo/UBERON_0001158,1450.0,119090.4126526517,5000
http://purl.org/ccf/1.5/76a8931b-1c06-4646-8a17-ac7828b6e879,VHMLargeIntestine,descending colon,http://purl.obolibrary.org/obo/UBERON_0001158,1450.0,119090.4126526517,5000
