dataset,reported_organ,modality,as,similarity
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002094,1
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002094,1
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002094,1
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002094,1
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002094,1
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002094,1
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002094,1
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.4847526958848292
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.4847526958848292
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.4847526958848292
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.4847526958848292
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,Unknown,bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.4847526958848292
