spatial_entity,slice_count
http://purl.org/ccf/1.5/217d9d39-eeee-4499-8487-bd455f6e43c7,11
http://purl.org/ccf/1.5/3db0b097-7f87-4252-bdee-286865bce471,11
http://purl.org/ccf/1.5/439011bd-9273-4e02-a3cd-e754bf9a1879,11
http://purl.org/ccf/1.5/93e9550c-4fda-4ed0-9702-64168dba6475,11
http://purl.org/ccf/1.5/971457a7-dc03-4230-bb71-cc9b529f5baf,11
http://purl.org/ccf/1.5/b5e4934d-001b-4e3e-b75f-4704f8e1406b,11
http://purl.org/ccf/1.5/f3a81447-18d4-4b3e-b434-3b5a00a3bd38,11
http://purl.org/ccf/1.5/0e16c507-d647-4d75-993d-9754bbc74ffe,12
http://purl.org/ccf/1.5/191bc7fa-9da3-4e4b-8958-bc96c4b12fa7,12
http://purl.org/ccf/1.5/44fce3b8-a070-483f-ab6d-68f4ac966e68,12
http://purl.org/ccf/1.5/64db1d83-64ca-467d-a6ca-6e67b4225614,12
http://purl.org/ccf/1.5/ac57c357-d8c9-4732-835e-12b5589cd97e,12
http://purl.org/ccf/1.5/aed98c7b-1c80-4630-986e-9bde1ff96f6a,12
http://purl.org/ccf/1.5/af66f9bb-fcd3-4ed0-9614-a877675d9465,12
http://purl.org/ccf/1.5/d048e649-a425-4d9a-9e07-a529f9ac273f,12
http://purl.org/ccf/1.5/543543a9-cc5a-4f99-863a-78ca573120d7,14
http://purl.org/ccf/1.5/d5691ad3-7e64-45ce-864d-ce66eb0e1e82,14
http://purl.org/ccf/1.5/142410d0-2ace-4014-9340-8f2ee6067510,15
http://purl.org/ccf/1.5/a78ee410-8f95-40a6-9a8c-fd400773fb0b,15
http://purl.org/ccf/1.5/ec1f3aac-67e0-4682-b478-ccfedd93536c,15
http://purl.org/ccf/1.5/2f3cec3b-eb4f-4ca0-a7bf-b440e51e5a59,16
http://purl.org/ccf/1.5/31a07009-45de-4d5a-ad5a-abc9fde8a5b5,16
http://purl.org/ccf/1.5/2ea2d4c8-0763-41d0-8c66-33e4958e8a36,17
http://purl.org/ccf/1.5/47919ed1-5339-4f91-a036-4e62f149d92a,18
http://purl.org/ccf/1.5/7b057b21-f6cd-4b4e-8824-b551bf5daee2,23
