collection,dataset_count
https://api.cellxgene.cziscience.com/dp/v1/collections/5900dda8-2dc3-4770-b604-084eac1c2c82,27
https://api.cellxgene.cziscience.com/dp/v1/collections/e4c9ed14-e560-4900-a3bf-b0f8d2ce6a10,27
https://api.cellxgene.cziscience.com/dp/v1/collections/72d37bc9-76cc-442d-9131-da0e273862db,27
https://api.cellxgene.cziscience.com/dp/v1/collections/367d95c0-0eb0-4dae-8276-9407239421ee,26
https://api.cellxgene.cziscience.com/dp/v1/collections/63d03351-06be-478e-a0db-f7a653b6b19b,26
https://api.cellxgene.cziscience.com/dp/v1/collections/0aab20b3-c30c-4606-bd2e-d20dae739c45,24
https://api.cellxgene.cziscience.com/dp/v1/collections/51544e44-293b-4c2b-8c26-560678423380,24
https://api.cellxgene.cziscience.com/dp/v1/collections/a3ffde6c-7ad2-498a-903c-d58e732f7470,24
https://api.cellxgene.cziscience.com/dp/v1/collections/d36ca85c-3e8b-444c-ba3e-a645040c6185,24
https://api.cellxgene.cziscience.com/dp/v1/collections/120e86b4-1195-48c5-845b-b98054105eec,23
https://api.cellxgene.cziscience.com/dp/v1/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,23
https://api.cellxgene.cziscience.com/dp/v1/collections/de13e3e2-23b6-40ed-a413-e9e12d7d3910,23
https://api.cellxgene.cziscience.com/dp/v1/collections/968834a0-1895-40df-8720-666029b3bbac,23
https://api.cellxgene.cziscience.com/dp/v1/collections/26b5b4f6-828c-4791-b4a3-abb19e3b1952,22
https://api.cellxgene.cziscience.com/dp/v1/collections/8e880741-bf9a-4c8e-9227-934204631d2a,22
https://api.cellxgene.cziscience.com/dp/v1/collections/a9254216-6cd8-4186-b32c-349363777584,22
https://api.cellxgene.cziscience.com/dp/v1/collections/6b701826-37bb-4356-9792-ff41fc4c3161,22
https://api.cellxgene.cziscience.com/dp/v1/collections/cec4ef8e-1e70-49a2-ae43-1e6bf1fd5978,22
https://api.cellxgene.cziscience.com/dp/v1/collections/8191c283-0816-424b-9b61-c3e1d6258a77,20
https://api.cellxgene.cziscience.com/dp/v1/collections/bf325905-5e8e-42e3-933d-9a9053e9af80,20
https://api.cellxgene.cziscience.com/dp/v1/collections/c672834e-c3e3-49cb-81a5-4c844be4a975,20
https://api.cellxgene.cziscience.com/dp/v1/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,20
https://api.cellxgene.cziscience.com/dp/v1/collections/5f80428b-222d-450b-a7de-a408186ceb86,20
https://api.cellxgene.cziscience.com/dp/v1/collections/7681c7d7-0168-4892-a547-6f02a6430ace,19
https://api.cellxgene.cziscience.com/dp/v1/collections/dc3a5256-5c39-4a21-ac0c-4ede3e7b2323,19
