modality,tool,cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
sc_transcriptomics,pan-human-azimuth,spermatocyte,http://purl.obolibrary.org/obo/CL_0000017,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
sc_transcriptomics,pan-human-azimuth,spermatid,http://purl.obolibrary.org/obo/CL_0000018,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
sc_transcriptomics,pan-human-azimuth,spermatogonium,http://purl.obolibrary.org/obo/CL_0000020,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
sc_transcriptomics,pan-human-azimuth,oocyte,http://purl.obolibrary.org/obo/CL_0000023,true,http://purl.obolibrary.org/obo/CL_0000039,germ line cell,,
sc_transcriptomics,celltypist,stem cell,http://purl.obolibrary.org/obo/CL_0000034,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_transcriptomics,popv,stem cell,http://purl.obolibrary.org/obo/CL_0000034,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_proteomics,vccf,stem cell,http://purl.obolibrary.org/obo/CL_0000034,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_transcriptomics,popv,hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_transcriptomics,azimuth,hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_transcriptomics,pan-human-azimuth,hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_transcriptomics,celltypist,hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_proteomics,vccf,hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_transcriptomics,frmatch,hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0000037,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
