cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
ciliated epithelial cell,http://purl.obolibrary.org/obo/CL_0000067,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000068,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
branched duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000069,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
non-branched duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000072,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
columnar/cuboidal epithelial cell,http://purl.obolibrary.org/obo/CL_0000075,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
squamous epithelial cell,http://purl.obolibrary.org/obo/CL_0000076,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
mesothelial cell,http://purl.obolibrary.org/obo/CL_0000077,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
peridermal cell,http://purl.obolibrary.org/obo/CL_0000078,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
stratified epithelial cell,http://purl.obolibrary.org/obo/CL_0000079,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
blood cell,http://purl.obolibrary.org/obo/CL_0000081,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
epithelial cell of lung,http://purl.obolibrary.org/obo/CL_0000082,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
epithelial cell of pancreas,http://purl.obolibrary.org/obo/CL_0000083,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
T cell,http://purl.obolibrary.org/obo/CL_0000084,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
Kupffer cell,http://purl.obolibrary.org/obo/CL_0000091,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000235,macrophage
osteoclast,http://purl.obolibrary.org/obo/CL_0000092,true,http://purl.obolibrary.org/obo/CL_0001035,bone cell,,
granulocyte,http://purl.obolibrary.org/obo/CL_0000094,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
neuron associated cell,http://purl.obolibrary.org/obo/CL_0000095,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,,
mature neutrophil,http://purl.obolibrary.org/obo/CL_0000096,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sensory epithelial cell,http://purl.obolibrary.org/obo/CL_0000098,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
interneuron,http://purl.obolibrary.org/obo/CL_0000099,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
motor neuron,http://purl.obolibrary.org/obo/CL_0000100,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sensory neuron,http://purl.obolibrary.org/obo/CL_0000101,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
polymodal neuron,http://purl.obolibrary.org/obo/CL_0000102,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
bipolar neuron,http://purl.obolibrary.org/obo/CL_0000103,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
multipolar neuron,http://purl.obolibrary.org/obo/CL_0000104,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
