dataset,reported_organ,tool,modality,as,similarity
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14966,0.00020087690350212235
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7375,0.9276736895409555
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7359,0.9556356145220134
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14930,0.00021330163468152492
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7400,0.9649503102316668
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7416,0.8607767466475936
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_8410026,0.05618784047622005
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.024231682299660478
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,0.020829697914513893
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001248,0.008102263775863984
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002194,0.02493621512117275
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001052,0.07480454914389825
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010417,0.02557754792294794
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001158,0.00012997608980292653
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002116,0.00013314916811653967
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001156,0.10288839614746745
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.04211991012982487
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.01872520601412835
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0016479,0.03228460128056832
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001153,0.00020291559947983035
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004536,0.023054388710025367
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002115,0.0001845618063497825
