dataset,reported_organ,tool,modality,corridor,similarity
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/559cb26d-2bed-41a6-8cdf-d5da5f4b52d2,0.9687083548102953
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/9131c76e-62cb-4433-a216-64e9fa0450c5,0.9685895462339477
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/dcbd8b51-3a18-4025-97c1-e1867e346a18,0.9667519600511049
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/cfa23a23-1cef-4a6f-8303-d1198e91a773,0.96649913255559
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/95881dfc-b806-40ca-85fd-0e02d647c999,0.9638605495031639
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/f1c3f780-6627-4c56-aada-97cb158f540d,0.9632156185027927
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/5b4b476b-01e1-4d13-95e5-d17770f9ffa9,0.9603646760400972
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/527bfb3c-5cea-4131-a73a-72687feb8024,0.9603640160037803
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/f4a116d7-f844-4d4a-bc8f-632151125313,0.9603569484592742
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/76c77da1-c978-48fe-b30b-aeff33a5d054,0.9602263381420321
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/11fcf508-762d-4f0c-b5c5-dad0cf38f4de,0.9556356145220134
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/2243b679-6c6c-4b66-9479-fef2640f2872,0.9556356145220134
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/0f4be9aa-dfce-414f-9d40-47cb38f5eee8,0.9556356145220134
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/4890aa9b-26a3-4db5-b25a-66e18cbc2158,0.9556356145220134
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/74d8c134-9489-4599-afa7-95bd8cf9fc8a,0.9556356145220134
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/3545c186-aafd-4477-adc5-6ee21219cf87,0.9556356145220134
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/965b263e-b1b5-44c3-86ef-bb682091be05,0.9555847960783692
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/853a9e2c-10ba-4491-9d9d-3551c0c5f26d,0.9531484325513933
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/3e6d37df-e4f3-4654-b06d-3a76c2e665ea,0.9510514239093397
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/e7d21a48-63dd-45d8-aedd-e4abed52d5d8,0.9494417838040533
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/8c2283cd-667a-4fa1-9026-50e30bcfdcd1,0.9372852700656225
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/25c3d20d-d856-4a22-b926-6ee9a5f4a1d4,0.9320629035931487
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/616ef33e-ebcc-4ece-b440-ca218440c8b4,0.9276736895409555
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/3c299376-82f1-4c1f-b283-2c03cb7922e2,0.9119018617146177
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/8af0476d-e6e6-4b55-afae-5eec8c9c1cb5,0.9103734829367442
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/f8a20a09-a700-439b-a518-60347cd7b156,0.9012738302793999
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/0cd47185-8e8a-4f56-a167-bf93de928553,0.898340815181628
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/6acd66b8-2659-4626-bef9-a80f135489ad,0.8971848200156355
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/6acd66b8-2659-4626-bef9-a80f135489ad,0.8971848200156355
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/6acd66b8-2659-4626-bef9-a80f135489ad,0.8971848200156355
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/f15f5400-2ef9-45fc-bf0f-72f14d6f8f9e,0.8951889968182285
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/d51b9d67-837f-4451-a6c6-0b63c7879736,0.8951889968182285
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/8d3e8fa1-185d-479b-83d9-9dfe2ead2d3e,0.8951889968182285
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/ca4a4754-6937-4d08-9eb0-bf400492c22c,0.8951889968182285
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/d662fd53-e925-4921-8d8b-bc91eed1519b,0.8951889968182283
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/95190b47-b491-448a-8e9b-06d804bf2aa1,0.8951889968182283
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4,0.8950703466874473
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/fd4fcec2-93c3-428f-ad3a-6c7ac4196da0,0.8908839653927443
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/09b9e49f-dd9c-4f9f-a7dc-258ac0d08530,0.8854877089791539
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,0.879756074923068
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,0.879756074923068
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,0.879756074923068
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,0.879756074923068
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,0.879756074923068
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/da60f474-614a-4e0a-adbe-521ba44c7bf0,0.879756074923068
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/aba1ebe3-af18-40cc-b536-b89843049ca5,0.8793806473949977
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/3c695f26-b7ed-44ad-8e11-894932defa86,0.10288839614746746
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,,popv,sc_bulk,http://purl.org/ccf/1.5/5df04f61-5fcc-4035-92c3-631f772a6ce0,0.10288839614746743
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/16e98d8c-8983-48c2-bb41-7b1cfbbf2e4a,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,1
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9999999999999999
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,,popv,sc_bulk,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9999999999999999
