as_count,organ
100,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
99,https://purl.humanatlas.io/ref-organ/blood-vasculature-male/v1.3#primary
62,https://purl.humanatlas.io/ref-organ/lung-female/v1.4#primary
59,https://purl.humanatlas.io/ref-organ/lung-male/v1.4#primary
58,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
58,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
31,https://purl.humanatlas.io/ref-organ/spinal-cord-male/v1.1#primary
30,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
24,https://purl.humanatlas.io/ref-organ/eye-female-left/v1.3#primary
24,https://purl.humanatlas.io/ref-organ/eye-female-right/v1.3#primary
24,https://purl.humanatlas.io/ref-organ/eye-male-left/v1.3#primary
24,https://purl.humanatlas.io/ref-organ/eye-male-right/v1.3#primary
23,https://purl.humanatlas.io/ref-organ/liver-female/v1.2#primary
23,https://purl.humanatlas.io/ref-organ/liver-male/v1.2#primary
17,https://purl.humanatlas.io/ref-organ/heart-female/v1.3#primary
17,https://purl.humanatlas.io/ref-organ/heart-male/v1.3#primary
14,https://purl.humanatlas.io/ref-organ/prostate-male/v1.2#primary
13,https://purl.humanatlas.io/ref-organ/knee-female-right/v1.3#primary
13,https://purl.humanatlas.io/ref-organ/knee-male-right/v1.2#primary
13,https://purl.humanatlas.io/ref-organ/knee-male-left/v1.2#primary
13,https://purl.humanatlas.io/ref-organ/knee-female-left/v1.3#primary
12,https://purl.humanatlas.io/ref-organ/small-intestine-male/v1.2#primary
11,https://purl.humanatlas.io/ref-organ/large-intestine-male/v1.3#primary
11,https://purl.humanatlas.io/ref-organ/large-intestine-female/v1.3#primary
11,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
11,https://purl.humanatlas.io/ref-organ/larynx-female/v1.1#primary
11,https://purl.humanatlas.io/ref-organ/larynx-male/v1.1#primary
10,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
9,https://purl.humanatlas.io/ref-organ/kidney-male-right/v1.3#primary
9,https://purl.humanatlas.io/ref-organ/kidney-female-left/v1.3#primary
9,https://purl.humanatlas.io/ref-organ/kidney-male-left/v1.3#primary
9,https://purl.humanatlas.io/ref-organ/kidney-female-right/v1.3#primary
9,https://purl.humanatlas.io/ref-organ/mammary-gland-female-left/v1.1#primary
9,https://purl.humanatlas.io/ref-organ/mammary-gland-female-right/v1.1#primary
8,https://purl.humanatlas.io/ref-organ/lymph-node-male/v1.4#primary
8,https://purl.humanatlas.io/ref-organ/lymph-node-female/v1.4#primary
8,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
8,https://purl.humanatlas.io/ref-organ/pelvis-male/v1.3#primary
6,https://purl.humanatlas.io/ref-organ/spleen-male/v1.3#primary
6,https://purl.humanatlas.io/ref-organ/spleen-female/v1.3#primary
6,https://purl.humanatlas.io/ref-organ/urinary-bladder-female/v1.2#primary
6,https://purl.humanatlas.io/ref-organ/urinary-bladder-male/v1.2#primary
6,https://purl.humanatlas.io/ref-organ/pancreas-female/v1.3#primary
6,https://purl.humanatlas.io/ref-organ/pancreas-male/v1.3#primary
6,https://purl.humanatlas.io/ref-organ/placenta-full-term-female/v1.1#primary
5,https://purl.humanatlas.io/ref-organ/fallopian-tube-female-right/v1.2#primary
5,https://purl.humanatlas.io/ref-organ/fallopian-tube-female-left/v1.2#primary
5,https://purl.humanatlas.io/ref-organ/main-bronchus-female/v1.1#primary
5,https://purl.humanatlas.io/ref-organ/main-bronchus-male/v1.1#primary
3,https://purl.humanatlas.io/ref-organ/thymus-female/v1.3#primary
3,https://purl.humanatlas.io/ref-organ/thymus-male/v1.3#primary
3,https://purl.humanatlas.io/ref-organ/trachea-female/v1.1#primary
3,https://purl.humanatlas.io/ref-organ/trachea-male/v1.1#primary
1,https://purl.humanatlas.io/ref-organ/ovary-female-left/v1.3#primary
1,https://purl.humanatlas.io/ref-organ/ovary-female-right/v1.3#primary
1,https://purl.humanatlas.io/ref-organ/skin-female/v1.4#primary
1,https://purl.humanatlas.io/ref-organ/ureter-male-right/v1.2#primary
1,https://purl.humanatlas.io/ref-organ/ureter-female-left/v1.2#primary
1,https://purl.humanatlas.io/ref-organ/ureter-male-left/v1.2#primary
1,https://purl.humanatlas.io/ref-organ/skin-male/v1.3#primary
1,https://purl.humanatlas.io/ref-organ/ureter-female-right/v1.2#primary
1,https://purl.humanatlas.io/ref-organ/renal-pelvis-female-right/v1.0#primary
1,https://purl.humanatlas.io/ref-organ/palatine-tonsil-female-right/v1.1#primary
1,https://purl.humanatlas.io/ref-organ/renal-pelvis-female-left/v1.0#primary
1,https://purl.humanatlas.io/ref-organ/renal-pelvis-male-left/v1.0#primary
1,https://purl.humanatlas.io/ref-organ/manubrium-female/v1.0#primary
1,https://purl.humanatlas.io/ref-organ/palatine-tonsil-female-left/v1.1#primary
1,https://purl.humanatlas.io/ref-organ/palatine-tonsil-male-left/v1.1#primary
1,https://purl.humanatlas.io/ref-organ/palatine-tonsil-male-right/v1.1#primary
1,https://purl.humanatlas.io/ref-organ/renal-pelvis-male-right/v1.0#primary
1,https://purl.humanatlas.io/ref-organ/sternum-female/v1.0#primary
