sex,organ,as_label,cell_label,cell_id,mean_cell_count,cell_count
Female,VHFRightKidney,renal pyramid,CCL11+ fibroblast,http://purl.obolibrary.org/obo/CL_0000057,7,7
Female,VHFRightKidney,renal pyramid,CD14 monocyte,http://purl.obolibrary.org/obo/CL_0001054,1,1
Female,VHFRightKidney,renal pyramid,CD16 NK cell,http://purl.obolibrary.org/obo/CL_0000939,1348.23076923076923076923,17527
Female,VHFRightKidney,renal pyramid,CD16 monocyte,http://purl.obolibrary.org/obo/CL_0000576,1,1
Female,VHFRightKidney,renal pyramid,CLDN3+ epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,3,6
Female,VHFRightKidney,renal pyramid,Capillary EC,http://purl.obolibrary.org/obo/CL_0002144,1.625,13
Female,VHFRightKidney,renal pyramid,Classical Dendritic,http://purl.obolibrary.org/obo/CL_0000990,122.66666666666666666667,736
Female,VHFRightKidney,renal pyramid,Connecting Tubule,http://purl.obolibrary.org/obo/CL_1000768,4772.76923076923076923077,62046
Female,VHFRightKidney,renal pyramid,Connecting Tubule Intercalated Type A,http://purl.obolibrary.org/obo/CL_4030020,1.125,9
Female,VHFRightKidney,renal pyramid,Connecting Tubule Principal,http://purl.obolibrary.org/obo/CL_4030018,258.66666666666666666667,3104
Female,VHFRightKidney,renal pyramid,Cortical Collecting Duct Intercalated Type A,http://purl.obolibrary.org/obo/CL_1000715,907.36363636363636363636,9981
Female,VHFRightKidney,renal pyramid,Cortical Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000714,3403.07692307692307692308,44240
Female,VHFRightKidney,renal pyramid,Cortical Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001109,5446.61538461538461538462,70806
Female,VHFRightKidney,renal pyramid,Cortical Vascular Smooth Muscle / Pericyte,http://purl.obolibrary.org/obo/CL_1001318,523.44444444444444444444,4711
Female,VHFRightKidney,renal pyramid,Cycling Mononuclear Phagocyte,http://purl.obolibrary.org/obo/CL_4033078,1,1
Female,VHFRightKidney,renal pyramid,Cycling T cell,http://purl.obolibrary.org/obo/CL_4033069,1,1
Female,VHFRightKidney,renal pyramid,Cycling T/NK cell,http://purl.obolibrary.org/obo/CL_0000542,1.66666666666666666667,10
Female,VHFRightKidney,renal pyramid,Cycling immune cell,http://purl.obolibrary.org/obo/CL_0000738,1,1
Female,VHFRightKidney,renal pyramid,Descending Thin Limb Type 1,http://purl.obolibrary.org/obo/CL_4030012,2893,37609
Female,VHFRightKidney,renal pyramid,Descending Thin Limb Type 2,http://purl.obolibrary.org/obo/CL_4030013,1262.30769230769230769231,16410
Female,VHFRightKidney,renal pyramid,Descending Thin Limb Type 3,http://purl.obolibrary.org/obo/CL_4030014,945.84615384615384615385,12296
Female,VHFRightKidney,renal pyramid,Descending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001285,421.84615384615384615385,5484
Female,VHFRightKidney,renal pyramid,Distal Convoluted Tubule Type 1,http://purl.obolibrary.org/obo/CL_4030016,9140.25,109683
Female,VHFRightKidney,renal pyramid,Distal Convoluted Tubule Type 2,http://purl.obolibrary.org/obo/CL_4030017,17.33333333333333333333,104
Female,VHFRightKidney,renal pyramid,Fibroblast,http://purl.obolibrary.org/obo/CL_1000692,327.84615384615384615385,4262
Female,VHFRightKidney,renal pyramid,G2/M phase myeloid cell,http://purl.obolibrary.org/obo/CL_4033081,1,1
Female,VHFRightKidney,renal pyramid,GZMB CD8 T cell,http://purl.obolibrary.org/obo/CL_0000909,47.46153846153846153846,617
Female,VHFRightKidney,renal pyramid,GZMK CD8 T cell,http://purl.obolibrary.org/obo/CL_4052021,4.3,43
Female,VHFRightKidney,renal pyramid,Ganglion cell,http://purl.obolibrary.org/obo/CL_0000740,1.5,6
Female,VHFRightKidney,renal pyramid,Germinal center B cell,http://purl.obolibrary.org/obo/CL_0000844,2,2
Female,VHFRightKidney,renal pyramid,Glomerular Capillary Endothelial,http://purl.obolibrary.org/obo/CL_1001005,32.9,329
Female,VHFRightKidney,renal pyramid,Horizontal cell,http://purl.obolibrary.org/obo/CL_0000745,2,4
Female,VHFRightKidney,renal pyramid,IGFBP6+APOD+ fibroblast,http://purl.obolibrary.org/obo/CL_0000057,1,1
Female,VHFRightKidney,renal pyramid,Inner Medullary Collecting Duct,http://purl.obolibrary.org/obo/CL_1000718,15021.69230769230769230769,195282
Female,VHFRightKidney,renal pyramid,Intercalated Type B,http://purl.obolibrary.org/obo/CL_0002201,305.77777777777777777778,2752
Female,VHFRightKidney,renal pyramid,KLRB1 cytotoxic CD4 T,http://purl.obolibrary.org/obo/CL_0000934,1,3
Female,VHFRightKidney,renal pyramid,LYVE1 macrophage,http://purl.obolibrary.org/obo/CL_0000235,12,36
Female,VHFRightKidney,renal pyramid,Late hemoglobin+ erythroblast,http://purl.obolibrary.org/obo/CL_0000765,4,24
Female,VHFRightKidney,renal pyramid,Lymphatic Endothelial,http://purl.obolibrary.org/obo/CL_0002138,43.84615384615384615385,570
Female,VHFRightKidney,renal pyramid,M2 Macrophage,http://purl.obolibrary.org/obo/CL_0000890,131.69230769230769230769,1712
Female,VHFRightKidney,renal pyramid,Macula Densa,http://purl.obolibrary.org/obo/CL_1000850,1180.18181818181818181818,12982
Female,VHFRightKidney,renal pyramid,Mast,http://purl.obolibrary.org/obo/CL_0000097,17.46153846153846153846,227
Female,VHFRightKidney,renal pyramid,Medullary Fibroblast,http://purl.obolibrary.org/obo/CL_4030022,2568.76923076923076923077,33394
Female,VHFRightKidney,renal pyramid,Medullary Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001108,5222.46153846153846153846,67892
Female,VHFRightKidney,renal pyramid,Memory CD4 T cell,http://purl.obolibrary.org/obo/CL_0000897,11.46153846153846153846,149
Female,VHFRightKidney,renal pyramid,Mesangial,http://purl.obolibrary.org/obo/CL_0000650,343,3430
Female,VHFRightKidney,renal pyramid,Mesenchymal stromal cell,http://purl.obolibrary.org/obo/CL_0008019,4,4
Female,VHFRightKidney,renal pyramid,Microglia,http://purl.obolibrary.org/obo/CL_0000129,1.5,3
Female,VHFRightKidney,renal pyramid,Monocyte-derived,http://purl.obolibrary.org/obo/CL_0011031,46.25,555
Female,VHFRightKidney,renal pyramid,Myofibroblast,http://purl.obolibrary.org/obo/CL_0000186,1,2
Female,VHFRightKidney,renal pyramid,Naive B cell,http://purl.obolibrary.org/obo/CL_0000788,7,70
Female,VHFRightKidney,renal pyramid,Naive CD4 T cell,http://purl.obolibrary.org/obo/CL_0000895,40.91666666666666666667,491
Female,VHFRightKidney,renal pyramid,Natural Killer T,http://purl.obolibrary.org/obo/CL_0000814,5.4,27
Female,VHFRightKidney,renal pyramid,Neutrophil,http://purl.obolibrary.org/obo/CL_0000775,1,3
Female,VHFRightKidney,renal pyramid,Non-classical monocyte,http://purl.obolibrary.org/obo/CL_0000875,1.9,19
Female,VHFRightKidney,renal pyramid,Outer Medullary Collecting Duct Intercalated Type A,http://purl.obolibrary.org/obo/CL_1000717,213.61538461538461538462,2777
Female,VHFRightKidney,renal pyramid,Outer Medullary Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000716,1088.61538461538461538462,14152
Female,VHFRightKidney,renal pyramid,Papillary Tip Epithelial,http://purl.obolibrary.org/obo/CL_1000597,22.42857142857142857143,157
Female,VHFRightKidney,renal pyramid,Parietal Epithelial,http://purl.obolibrary.org/obo/CL_1000452,1125.09090909090909090909,12376
Female,VHFRightKidney,renal pyramid,Pericyte,http://purl.obolibrary.org/obo/CL_0000669,2.2,11
Female,VHFRightKidney,renal pyramid,Peritubular Capilary Endothelial,http://purl.obolibrary.org/obo/CL_1001033,335.07692307692307692308,4356
Female,VHFRightKidney,renal pyramid,Plasma,http://purl.obolibrary.org/obo/CL_0000786,11.1,111
Female,VHFRightKidney,renal pyramid,Plasma cell,http://purl.obolibrary.org/obo/CL_0000786,1212.30769230769230769231,15760
Female,VHFRightKidney,renal pyramid,Plasmacytoid Dendritic,http://purl.obolibrary.org/obo/CL_0001058,1,1
Female,VHFRightKidney,renal pyramid,Podocyte,http://purl.obolibrary.org/obo/CL_0000653,86.47368421052631578947,1643
Female,VHFRightKidney,renal pyramid,Proximal Tubule Epithelial Segment 1,http://purl.obolibrary.org/obo/CL_4030009,455.75,5469
Female,VHFRightKidney,renal pyramid,Proximal Tubule Epithelial Segment 2,http://purl.obolibrary.org/obo/CL_4030010,26.8,268
Female,VHFRightKidney,renal pyramid,Proximal Tubule Epithelial Segment 3,http://purl.obolibrary.org/obo/CL_4030011,497,6461
Female,VHFRightKidney,renal pyramid,Renal epithelial cell - Loop of Henle,http://purl.obolibrary.org/obo/CL_1000909,135.38461538461538461538,1760
Female,VHFRightKidney,renal pyramid,Renal epithelial cell - distal tubules,http://purl.obolibrary.org/obo/CL_0002305,71.38461538461538461538,928
Female,VHFRightKidney,renal pyramid,Renal epithelial cell - proximal tubules,http://purl.obolibrary.org/obo/CL_0002306,18.42857142857142857143,129
Female,VHFRightKidney,renal pyramid,Renin-positive Juxtaglomerular Granular,http://purl.obolibrary.org/obo/CL_0000648,35.16666666666666666667,211
Female,VHFRightKidney,renal pyramid,Schwann / Neural,http://purl.obolibrary.org/obo/CL_0002573,76,684
Female,VHFRightKidney,renal pyramid,T,http://purl.obolibrary.org/obo/CL_0000084,78,1014
Female,VHFRightKidney,renal pyramid,Treg cell,http://purl.obolibrary.org/obo/CL_0000792,38.25,306
Female,VHFRightKidney,renal pyramid,Type A intercalated cell,http://purl.obolibrary.org/obo/CL_0005011,1.72727272727272727273,19
Female,VHFRightKidney,renal pyramid,Type B intercalated cell,http://purl.obolibrary.org/obo/CL_0002201,4.2,21
Female,VHFRightKidney,renal pyramid,Vascular Smooth Muscle / Pericyte,http://purl.obolibrary.org/obo/CL_1001318,232.5,930
Female,VHFRightKidney,renal pyramid,Vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359,2,2
Female,VHFRightKidney,renal pyramid,Venous EC,http://purl.obolibrary.org/obo/CL_0002543,20.1,201
Female,VHFRightKidney,renal pyramid,Ventricular cardiomyocyte,http://purl.obolibrary.org/obo/CL_2000046,1,1
Female,VHFRightKidney,renal pyramid,abT (entry) cell,http://purl.obolibrary.org/obo/CL_0000789,5,40
Female,VHFRightKidney,renal pyramid,cDC2,http://purl.obolibrary.org/obo/CL_0002399,5.5,11
Female,VHMLeftKidney,renal papilla,Arterial EC,http://purl.obolibrary.org/obo/CL_1000413,2,2
Female,VHMLeftKidney,renal papilla,Ascending Thin Limb,http://purl.obolibrary.org/obo/CL_1001107,506,506
Female,VHMLeftKidney,renal papilla,Ascending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001131,950,950
Female,VHMLeftKidney,renal papilla,Basal cell of bladder,http://purl.obolibrary.org/obo/CL_0000646,1,1
Female,VHMLeftKidney,renal papilla,CD16 NK cell,http://purl.obolibrary.org/obo/CL_0000939,778,778
Female,VHMLeftKidney,renal papilla,Connecting Tubule,http://purl.obolibrary.org/obo/CL_1000768,176,176
Female,VHMLeftKidney,renal papilla,Cortical Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000714,8,8
Female,VHMLeftKidney,renal papilla,Descending Thin Limb Type 1,http://purl.obolibrary.org/obo/CL_4030012,186,186
Female,VHMLeftKidney,renal papilla,Descending Thin Limb Type 2,http://purl.obolibrary.org/obo/CL_4030013,1,1
Female,VHMLeftKidney,renal papilla,Descending Thin Limb Type 3,http://purl.obolibrary.org/obo/CL_4030014,679,679
Female,VHMLeftKidney,renal papilla,Descending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001285,169,169
Female,VHMLeftKidney,renal papilla,Fibroblast,http://purl.obolibrary.org/obo/CL_1000692,3,3
Female,VHMLeftKidney,renal papilla,GZMB CD8 T cell,http://purl.obolibrary.org/obo/CL_0000909,3,3
Female,VHMLeftKidney,renal papilla,Inner Medullary Collecting Duct,http://purl.obolibrary.org/obo/CL_1000718,3975,3975
Female,VHMLeftKidney,renal papilla,LYVE1 macrophage,http://purl.obolibrary.org/obo/CL_0000235,2,2
Female,VHMLeftKidney,renal papilla,M2 Macrophage,http://purl.obolibrary.org/obo/CL_0000890,148,148
Female,VHMLeftKidney,renal papilla,Mast,http://purl.obolibrary.org/obo/CL_0000097,1,1
Female,VHMLeftKidney,renal papilla,Medullary Fibroblast,http://purl.obolibrary.org/obo/CL_4030022,3723,3723
Female,VHMLeftKidney,renal papilla,Medullary Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001108,5,5
Female,VHMLeftKidney,renal papilla,Memory CD4 T cell,http://purl.obolibrary.org/obo/CL_0000897,7,7
Female,VHMLeftKidney,renal papilla,Monocyte-derived,http://purl.obolibrary.org/obo/CL_0011031,9,9
Female,VHMLeftKidney,renal papilla,Naive B cell,http://purl.obolibrary.org/obo/CL_0000788,9,9
Female,VHMLeftKidney,renal papilla,Naive CD4 T cell,http://purl.obolibrary.org/obo/CL_0000895,2,2
Female,VHMLeftKidney,renal papilla,Naive T cell,http://purl.obolibrary.org/obo/CL_0000898,1,1
Female,VHMLeftKidney,renal papilla,Neutrophil,http://purl.obolibrary.org/obo/CL_0000775,1,1
Female,VHMLeftKidney,renal papilla,Outer Medullary Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000716,371,371
Female,VHMLeftKidney,renal papilla,Plasma,http://purl.obolibrary.org/obo/CL_0000786,7,7
Female,VHMLeftKidney,renal papilla,Plasma cell,http://purl.obolibrary.org/obo/CL_0000786,208,208
Female,VHMLeftKidney,renal papilla,Podocyte,http://purl.obolibrary.org/obo/CL_0000653,1,1
Female,VHMLeftKidney,renal papilla,Renal epithelial cell - distal tubules,http://purl.obolibrary.org/obo/CL_0002305,15,15
Female,VHMLeftKidney,renal papilla,T,http://purl.obolibrary.org/obo/CL_0000084,21,21
Female,VHMLeftKidney,renal papilla,Treg cell,http://purl.obolibrary.org/obo/CL_0000792,1,1
Female,VHMLeftKidney,renal papilla,Vascular Smooth Muscle / Pericyte,http://purl.obolibrary.org/obo/CL_1001318,58,58
Female,VHMLeftKidney,renal papilla,Venous EC,http://purl.obolibrary.org/obo/CL_0002543,2,2
Female,VHMLeftKidney,renal papilla,cDC2,http://purl.obolibrary.org/obo/CL_0002399,2,2
Male,VHFLeftKidney,renal pyramid,Afferent / Efferent Arteriole Endothelial,http://purl.obolibrary.org/obo/CL_1000412,38.25,153
Male,VHFLeftKidney,renal pyramid,Arterial EC,http://purl.obolibrary.org/obo/CL_1000413,35,140
Male,VHFLeftKidney,renal pyramid,Ascending Thin Limb,http://purl.obolibrary.org/obo/CL_1001107,3797.25,15189
Male,VHFLeftKidney,renal pyramid,Ascending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001131,362.75,1451
Male,VHFLeftKidney,renal pyramid,B,http://purl.obolibrary.org/obo/CL_0000236,163,326
Male,VHFLeftKidney,renal pyramid,Basal cell of bladder,http://purl.obolibrary.org/obo/CL_0000646,2,8
Male,VHFLeftKidney,renal pyramid,CD14 monocyte,http://purl.obolibrary.org/obo/CL_0001054,1,2
Male,VHFLeftKidney,renal pyramid,CD16 NK cell,http://purl.obolibrary.org/obo/CL_0000939,1074.25,4297
Male,VHFLeftKidney,renal pyramid,Capillary EC,http://purl.obolibrary.org/obo/CL_0002144,17,34
Male,VHFLeftKidney,renal pyramid,Classical Dendritic,http://purl.obolibrary.org/obo/CL_0000990,1,1
Male,VHFLeftKidney,renal pyramid,Connecting Tubule,http://purl.obolibrary.org/obo/CL_1000768,6755.5,27022
Male,VHFLeftKidney,renal pyramid,Connecting Tubule Principal,http://purl.obolibrary.org/obo/CL_4030018,172.25,689
Male,VHFLeftKidney,renal pyramid,Cortical Collecting Duct Intercalated Type A,http://purl.obolibrary.org/obo/CL_1000715,2115.5,8462
Male,VHFLeftKidney,renal pyramid,Cortical Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000714,2143.25,8573
Male,VHFLeftKidney,renal pyramid,Cortical Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001109,3317.75,13271
Male,VHFLeftKidney,renal pyramid,Cortical Vascular Smooth Muscle / Pericyte,http://purl.obolibrary.org/obo/CL_1001318,215,215
Male,VHFLeftKidney,renal pyramid,Cycling Mononuclear Phagocyte,http://purl.obolibrary.org/obo/CL_4033078,1,1
Male,VHFLeftKidney,renal pyramid,Descending Thin Limb Type 1,http://purl.obolibrary.org/obo/CL_4030012,2730.25,10921
Male,VHFLeftKidney,renal pyramid,Descending Thin Limb Type 2,http://purl.obolibrary.org/obo/CL_4030013,5810.5,23242
Male,VHFLeftKidney,renal pyramid,Descending Thin Limb Type 3,http://purl.obolibrary.org/obo/CL_4030014,565.25,2261
Male,VHFLeftKidney,renal pyramid,Descending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001285,508.25,2033
Male,VHFLeftKidney,renal pyramid,Distal Convoluted Tubule Type 1,http://purl.obolibrary.org/obo/CL_4030016,3803.75,15215
Male,VHFLeftKidney,renal pyramid,Distal Convoluted Tubule Type 2,http://purl.obolibrary.org/obo/CL_4030017,14.5,29
Male,VHFLeftKidney,renal pyramid,Fetal HBG+ erythrocyte,http://purl.obolibrary.org/obo/CL_0000232,2.5,10
Male,VHFLeftKidney,renal pyramid,Fibroblast,http://purl.obolibrary.org/obo/CL_1000692,497,1988
Male,VHFLeftKidney,renal pyramid,GZMB CD8 T cell,http://purl.obolibrary.org/obo/CL_0000909,39.5,158
Male,VHFLeftKidney,renal pyramid,GZMK CD8 T cell,http://purl.obolibrary.org/obo/CL_4052021,5,20
Male,VHFLeftKidney,renal pyramid,GZMK cytotoxic CD4 T cell,http://purl.obolibrary.org/obo/CL_0000934,1,2
Male,VHFLeftKidney,renal pyramid,Glomerular Capillary Endothelial,http://purl.obolibrary.org/obo/CL_1001005,15.25,61
Male,VHFLeftKidney,renal pyramid,Inner Medullary Collecting Duct,http://purl.obolibrary.org/obo/CL_1000718,8918.5,35674
Male,VHFLeftKidney,renal pyramid,Intercalated Type B,http://purl.obolibrary.org/obo/CL_0002201,461,1844
Male,VHFLeftKidney,renal pyramid,LYVE1 macrophage,http://purl.obolibrary.org/obo/CL_0000235,20,40
Male,VHFLeftKidney,renal pyramid,Lymphatic EC,http://purl.obolibrary.org/obo/CL_0002138,4,8
Male,VHFLeftKidney,renal pyramid,Lymphatic Endothelial,http://purl.obolibrary.org/obo/CL_0002138,21.5,43
Male,VHFLeftKidney,renal pyramid,M1 macrophage,http://purl.obolibrary.org/obo/CL_0000863,2,4
Male,VHFLeftKidney,renal pyramid,M2 Macrophage,http://purl.obolibrary.org/obo/CL_0000890,82.25,329
Male,VHFLeftKidney,renal pyramid,Macula Densa,http://purl.obolibrary.org/obo/CL_1000850,1212.5,4850
Male,VHFLeftKidney,renal pyramid,Mast,http://purl.obolibrary.org/obo/CL_0000097,1.5,6
Male,VHFLeftKidney,renal pyramid,Medullary Fibroblast,http://purl.obolibrary.org/obo/CL_4030022,1038.5,4154
Male,VHFLeftKidney,renal pyramid,Medullary Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001108,4032.25,16129
Male,VHFLeftKidney,renal pyramid,Memory CD4 T cell,http://purl.obolibrary.org/obo/CL_0000897,10,40
Male,VHFLeftKidney,renal pyramid,Mesangial,http://purl.obolibrary.org/obo/CL_0000650,294.5,589
Male,VHFLeftKidney,renal pyramid,Monocyte-derived,http://purl.obolibrary.org/obo/CL_0011031,10,20
Male,VHFLeftKidney,renal pyramid,Naive B cell,http://purl.obolibrary.org/obo/CL_0000788,4,16
Male,VHFLeftKidney,renal pyramid,Naive CD4 T cell,http://purl.obolibrary.org/obo/CL_0000895,65.5,262
Male,VHFLeftKidney,renal pyramid,Neutrophil,http://purl.obolibrary.org/obo/CL_0000775,1.57142857142857142857,11
Male,VHFLeftKidney,renal pyramid,Non-classical monocyte,http://purl.obolibrary.org/obo/CL_0000875,1.5,6
Male,VHFLeftKidney,renal pyramid,Outer Medullary Collecting Duct Intercalated Type A,http://purl.obolibrary.org/obo/CL_1000717,694.25,2777
Male,VHFLeftKidney,renal pyramid,Outer Medullary Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000716,271.75,1087
