#####Coverage percentage#####
87.56%
#####Number of terms covered by each term in the slim#####
melanocyte,14
http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell
http://purl.obolibrary.org/obo/CL_0000724,heterocyst
http://purl.obolibrary.org/obo/CL_1000332,serous cell of epithelium of terminal bronchiole
http://purl.obolibrary.org/obo/CL_0011011,intermediate mesodermal cell
http://purl.obolibrary.org/obo/CL_0000563,endospore
http://purl.obolibrary.org/obo/CL_0007016,adaxial cell
http://purl.obolibrary.org/obo/CL_0007022,micropylar cell
http://purl.obolibrary.org/obo/CL_0001658,visual pigment cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0000323,lysozyme secreting cell
http://purl.obolibrary.org/obo/CL_0000852,neuromast supporting cell
http://purl.obolibrary.org/obo/CL_0000608,zygospore
http://purl.obolibrary.org/obo/CL_4052002,syncytial cell
http://purl.obolibrary.org/obo/CL_0000459,noradrenergic cell
http://purl.obolibrary.org/obo/CL_1001009,kidney efferent arteriole cell
http://purl.obolibrary.org/obo/CL_0000599,conidium
http://purl.obolibrary.org/obo/CL_4033084,cuboidal granulosa cell
http://purl.obolibrary.org/obo/CL_1000616,kidney outer medulla cell
http://purl.obolibrary.org/obo/CL_0000159,seromucus secreting cell
http://purl.obolibrary.org/obo/CL_4052047,late luteal cell
http://purl.obolibrary.org/obo/CL_0005001,iridoblast
http://purl.obolibrary.org/obo/CL_0007023,flask cell
http://purl.obolibrary.org/obo/CL_0000417,endopolyploid cell
http://purl.obolibrary.org/obo/CL_0002385,blastoconidium
http://purl.obolibrary.org/obo/CL_0007020,bottle cell
http://purl.obolibrary.org/obo/CL_0000857,slow muscle myoblast
http://purl.obolibrary.org/obo/CL_0000509,gastrin secreting cell
http://purl.obolibrary.org/obo/CL_0000309,copper accumulating cell
http://purl.obolibrary.org/obo/CL_0002390,uninucleate blastconidium
http://purl.obolibrary.org/obo/CL_0002520,nephrocyte
http://purl.obolibrary.org/obo/CL_0011020,neural progenitor cell
http://purl.obolibrary.org/obo/CL_2000075,anterior visceral endoderm cell
http://purl.obolibrary.org/obo/CL_0000234,phagocyte
http://purl.obolibrary.org/obo/CL_1000505,kidney pelvis cell
http://purl.obolibrary.org/obo/CL_0000703,sustentacular cell
http://purl.obolibrary.org/obo/CL_0000597,microconidium
http://purl.obolibrary.org/obo/CL_0000286,hyphal cell
http://purl.obolibrary.org/obo/CL_1000891,kidney arterial blood vessel cell
http://purl.obolibrary.org/obo/CL_0000677,gut absorptive cell
http://purl.obolibrary.org/obo/CL_0000565,fat body cell
http://purl.obolibrary.org/obo/CL_0005004,pigment erythroblast
http://purl.obolibrary.org/obo/CL_0008019,mesenchymal cell
http://purl.obolibrary.org/obo/CL_0002674,H minus
http://purl.obolibrary.org/obo/CL_1000682,kidney medulla interstitial cell
http://purl.obolibrary.org/obo/CL_1000601,ureteral cell
http://purl.obolibrary.org/obo/CL_0000590,small luteal cell
http://purl.obolibrary.org/obo/CL_0000373,histoblast
http://purl.obolibrary.org/obo/CL_0000518,phagocyte (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0009099,fibro/adipogenic progenitor cell
http://purl.obolibrary.org/obo/CL_0002559,hair follicle cell
http://purl.obolibrary.org/obo/CL_1001006,kidney afferent arteriole cell
http://purl.obolibrary.org/obo/CL_0001063,neoplastic cell
http://purl.obolibrary.org/obo/CL_0000334,vegetative cell (sensu Fungi)
http://purl.obolibrary.org/obo/CL_1000155,Malpighian tubule stellate cell
http://purl.obolibrary.org/obo/CL_0000747,cyanophore
http://purl.obolibrary.org/obo/CL_0000056,myoblast
http://purl.obolibrary.org/obo/CL_0000133,neurectodermal cell
http://purl.obolibrary.org/obo/CL_0000606,macroconidium
http://purl.obolibrary.org/obo/CL_0000483,bombesin stimulating hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000361,gastrula cell
http://purl.obolibrary.org/obo/CL_1001045,kidney cortex artery cell
http://purl.obolibrary.org/obo/CL_0007009,prechondroblast
http://purl.obolibrary.org/obo/CL_0000519,phagocyte (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0000007,early embryonic cell (metazoa)
http://purl.obolibrary.org/obo/CL_0000168,insulin secreting cell
http://purl.obolibrary.org/obo/CL_0000319,mucus secreting cell
http://purl.obolibrary.org/obo/CL_0000367,sheath cell (sensu Nematoda)
http://purl.obolibrary.org/obo/CL_0000447,carbohydrate secreting cell
http://purl.obolibrary.org/obo/CL_0008018,somatic muscle myoblast
http://purl.obolibrary.org/obo/CL_0002274,histamine secreting cell
http://purl.obolibrary.org/obo/CL_0002391,multinucleate blastoconidium
http://purl.obolibrary.org/obo/CL_0009013,fetal hepatobiliary progenitor cell
http://purl.obolibrary.org/obo/CL_0000515,skeletal muscle myoblast
http://purl.obolibrary.org/obo/CL_4029003,somatic nurse-like cell
http://purl.obolibrary.org/obo/CL_0002369,fungal spore
http://purl.obolibrary.org/obo/CL_0008020,skeletal muscle satellite myogenic cell
http://purl.obolibrary.org/obo/CL_1001320,urethra cell
http://purl.obolibrary.org/obo/CL_0000315,tear secreting cell
http://purl.obolibrary.org/obo/CL_1001138,interlobular artery cell
http://purl.obolibrary.org/obo/CL_1001225,kidney collecting duct cell
http://purl.obolibrary.org/obo/CL_4033005,serous secreting cell of bronchus submucosal gland
http://purl.obolibrary.org/obo/CL_0000521,fungal cell
http://purl.obolibrary.org/obo/CL_0000347,scleral cell
http://purl.obolibrary.org/obo/CL_0000423,tip cell
http://purl.obolibrary.org/obo/CL_0000341,pigment cell (sensu Nematoda and Protostomia)
http://purl.obolibrary.org/obo/CL_0007018,epidermal ciliary cell
http://purl.obolibrary.org/obo/CL_0008016,activated skeletal muscle satellite cell
http://purl.obolibrary.org/obo/CL_0000208,pH receptor cell
http://purl.obolibrary.org/obo/CL_0000701,paraganglia type 2 cell
http://purl.obolibrary.org/obo/CL_0000571,leucophore
http://purl.obolibrary.org/obo/CL_0009005,salivary gland cell
http://purl.obolibrary.org/obo/CL_0000380,thecogen cell
http://purl.obolibrary.org/obo/CL_0000256,uric acid accumulating cell
http://purl.obolibrary.org/obo/CL_0000615,basidiospore
http://purl.obolibrary.org/obo/CL_0000689,myoendocrine cell
http://purl.obolibrary.org/obo/CL_0000326,glycogen accumulating cell
http://purl.obolibrary.org/obo/CL_0000188,cell of skeletal muscle
http://purl.obolibrary.org/obo/CL_0007007,notochordal sheath cell
http://purl.obolibrary.org/obo/CL_0000430,xanthophore cell
http://purl.obolibrary.org/obo/CL_0000152,exocrine cell
http://purl.obolibrary.org/obo/CL_0008034,mural cell
http://purl.obolibrary.org/obo/CL_4030032,valve interstitial cell
http://purl.obolibrary.org/obo/CL_0000465,cardioblast (sensu Arthropoda)
http://purl.obolibrary.org/obo/CL_0000501,granulosa cell
http://purl.obolibrary.org/obo/CL_0007005,notochordal cell
http://purl.obolibrary.org/obo/CL_0000223,endodermal cell
http://purl.obolibrary.org/obo/CL_0002381,uninucleate conidium
http://purl.obolibrary.org/obo/CL_0000507,endorphin secreting cell
http://purl.obolibrary.org/obo/CL_0000596,sexual spore
http://purl.obolibrary.org/obo/CL_0002524,disseminated nephrocyte
http://purl.obolibrary.org/obo/CL_0000514,smooth muscle myoblast
http://purl.obolibrary.org/obo/CL_0000435,alkali secreting cell
http://purl.obolibrary.org/obo/CL_0000858,fast muscle myoblast
http://purl.obolibrary.org/obo/CL_0019001,tracheobronchial serous cell
http://purl.obolibrary.org/obo/CL_0000174,steroid hormone secreting cell
http://purl.obolibrary.org/obo/CL_0000180,estradiol secreting cell
http://purl.obolibrary.org/obo/CL_0000892,smooth muscle cell derived foam cell
http://purl.obolibrary.org/obo/CL_1000331,serous cell of epithelium of bronchus
http://purl.obolibrary.org/obo/CL_0002269,vasoactive intestinal peptide secreting cell
http://purl.obolibrary.org/obo/CL_0000854,interneuromast cell
http://purl.obolibrary.org/obo/CL_0000711,cumulus granulosa cell
http://purl.obolibrary.org/obo/CL_0002380,oospore
http://purl.obolibrary.org/obo/CL_0009003,larval midgut cell
http://purl.obolibrary.org/obo/CL_0000177,testosterone secreting cell
