dataset,reported_organ,modality,as,similarity
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma14928,0.8805440632423418
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7400,0.00460838031968244
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7339,0.049211304156935816
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma14966,0.9459516193281036
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7366,0.011142684182223363
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7416,0.027273112150693883
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7374,0.015506407837427273
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7364,0.01406262849901035
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7360,0.008494649350853553
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7375,0.012871806464583982
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7398,0.05361642363352988
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7426,0.018708632386993093
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7373,0.01432843052696357
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7338,0.0962418484459288
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7359,0.013249606638865388
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma14926,0.8635750365180543
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma14930,0.9105324370324047
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7428,0.015698345008784066
http://purl.org/ccf/1.5/09681d25-f08d-40ff-81cb-a731610aa84d,Unknown,spatial,http://purl.org/sig/ont/fma/fma7386,0.016073701321266225
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.880544063242342
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001153,0.8809190383056902
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001248,0.000010846563255383872
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001052,0.00020981488670413498
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001158,0.891685025547884
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001223,0.003591711498759809
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001156,0.0002263135150314914
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001228,0.002983227589525724
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.7708139642744776
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002094,0.004285341598344026
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010397,0.00000448110903658545
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010748,0.000006476691833922138
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002080,0.007768201801430799
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002116,0.8259072394063594
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002194,0.0000062419230455445735
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004200,0.0012858048830923304
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004536,0.000006883548602842786
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002189,0.001237649891684337
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004887,0.007022421481612539
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0004888,0.004543315610173311
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0010417,0.000006020860415432803
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002084,0.005218302357730378
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001284,0.003386655553782627
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002007,0.0000060891114916038135
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002078,0.008655182710536972
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002115,0.9697925868656624
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0002015,0.0027085224525525446
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0008716,0.0010045117334693402
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7375,0.006452417149067749
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma15828,0.000008961954172527666
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7398,0.027043296334406733
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7338,0.04823614824357674
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7339,0.024915064053093513
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7359,0.0068178460982141025
