cell_label,cell_id,level,level_cell_id,level_cell_label
"dendritic cell, human",http://purl.obolibrary.org/obo/CL_0001056,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
deuterosomal cell,http://purl.obolibrary.org/obo/CL_4033044,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
double negative thymocyte,http://purl.obolibrary.org/obo/CL_0002489,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
double negative thymocyte,http://purl.obolibrary.org/obo/CL_0002489,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"double-positive, alpha-beta thymocyte",http://purl.obolibrary.org/obo/CL_0000809,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"double-positive, alpha-beta thymocyte",http://purl.obolibrary.org/obo/CL_0000809,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"effector CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0001050,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"effector CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0001050,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
"effector memory CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000913,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"effector memory CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000913,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
endocardial cell,http://purl.obolibrary.org/obo/CL_0002350,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
endothelial cell of arteriole,http://purl.obolibrary.org/obo/CL_1000412,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
endothelial cell of hepatic sinusoid,http://purl.obolibrary.org/obo/CL_1000398,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
endothelial cell of lymphatic vessel,http://purl.obolibrary.org/obo/CL_0002138,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
endothelial cell of respiratory system lymphatic vessel,http://purl.obolibrary.org/obo/CL_0009086,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
endothelial cell of venule,http://purl.obolibrary.org/obo/CL_1000414,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
enteric smooth muscle cell,http://purl.obolibrary.org/obo/CL_0002504,L1,http://purl.obolibrary.org/obo/CL_0000187,muscle cell
enterocyte,http://purl.obolibrary.org/obo/CL_0000584,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
