cell_label,cell_id,level,level_cell_id,level_cell_label
platelet,http://purl.obolibrary.org/obo/CL_0000233,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
platelet,http://purl.obolibrary.org/obo/CL_0000233,L2,http://purl.obolibrary.org/obo/CL_0000081,blood cell
podocyte,http://purl.obolibrary.org/obo/CL_0000653,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pulmonary alveolar epithelial cell,http://purl.obolibrary.org/obo/CL_0000322,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pulmonary alveolar type 1 cell,http://purl.obolibrary.org/obo/CL_0002062,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pulmonary alveolar type 2 cell,http://purl.obolibrary.org/obo/CL_0002063,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pulmonary artery endothelial cell,http://purl.obolibrary.org/obo/CL_1001568,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
pulmonary interstitial fibroblast,http://purl.obolibrary.org/obo/CL_0002241,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
pulmonary interstitial fibroblast,http://purl.obolibrary.org/obo/CL_0002241,L2,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
pulmonary ionocyte,http://purl.obolibrary.org/obo/CL_0017000,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
regulatory T cell,http://purl.obolibrary.org/obo/CL_0000815,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
