Organ_Label,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,dataset_count,cell_count
blood,UBERON:0000178,CD141-positive myeloid dendritic cell,CL:0002394,CD141-positive myeloid dendritic cell,CL:0002394,,274,1710
blood,UBERON:0000178,"CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell",CL:0000897,,1403,3171770
blood,UBERON:0000178,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000625,,1402,861526
blood,UBERON:0000178,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,,1404,1354440
blood,UBERON:0000178,T cell,CL:0000084,T cell,CL:0000084,,315,3654
blood,UBERON:0000178,basophil,CL:0000767,basophil,CL:0000767,,326,3352
blood,UBERON:0000178,classical monocyte,CL:0000860,classical monocyte,CL:0000860,,1400,3502336
blood,UBERON:0000178,erythrocyte,CL:0000232,erythrocyte,CL:0000232,,223,4370
blood,UBERON:0000178,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,CL:0000037,,622,11088
blood,UBERON:0000178,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,1403,956660
blood,UBERON:0000178,memory B cell,CL:0000787,memory B cell,CL:0000787,,1402,893812
blood,UBERON:0000178,naive B cell,CL:0000788,naive B cell,CL:0000788,,1390,924080
blood,UBERON:0000178,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,,1395,1028920
blood,UBERON:0000178,neutrophil,CL:0000775,neutrophil,CL:0000775,,296,5136
blood,UBERON:0000178,plasma cell,CL:0000786,plasma cell,CL:0000786,,1353,152662
blood,UBERON:0000178,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,CL:0000784,,308,1170
blood,UBERON:0000178,platelet,CL:0000233,platelet,CL:0000233,,991,80260
blood,UBERON:0000178,type I NK T cell,CL:0000921,type I NK T cell,CL:0000921,,1400,401340
blood vasculature,UBERON:0004537,B cell,CL:0000236,B cell,CL:0000236,,8,406
blood vasculature,UBERON:0004537,T cell,CL:0000084,T cell,CL:0000084,,8,11204
blood vasculature,UBERON:0004537,endothelial cell,CL:0000115,endothelial cell,CL:0000115,,10,15832
blood vasculature,UBERON:0004537,endothelial cell of artery,CL:1000413,endothelial cell of artery,CL:1000413,,8,558
blood vasculature,UBERON:0004537,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,,7,178
blood vasculature,UBERON:0004537,epithelial cell,CL:0000066,epithelial cell,CL:0000066,,4,324
blood vasculature,UBERON:0004537,erythrocyte,CL:0000232,erythrocyte,CL:0000232,,6,142
blood vasculature,UBERON:0004537,fibroblast,CL:0000057,fibroblast,CL:0000057,,7,21894
blood vasculature,UBERON:0004537,macrophage,CL:0000235,macrophage,CL:0000235,,8,15726
blood vasculature,UBERON:0004537,mast cell,CL:0000097,mast cell,CL:0000097,,9,574
blood vasculature,UBERON:0004537,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,8,1608
blood vasculature,UBERON:0004537,pericyte,CL:0000669,pericyte,CL:0000669,,4,2400
blood vasculature,UBERON:0004537,plasma cell,CL:0000786,plasma cell,CL:0000786,,8,538
blood vasculature,UBERON:0004537,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,,8,5882
bone marrow,UBERON:0002371,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000624,,105,88232
bone marrow,UBERON:0002371,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000625,,78,97906
bone marrow,UBERON:0002371,common myeloid progenitor,CL:0000049,common myeloid progenitor,CL:0000049,,57,10348
bone marrow,UBERON:0002371,erythrocyte,CL:0000232,erythrocyte,CL:0000232,,46,27458
bone marrow,UBERON:0002371,erythroid progenitor cell,CL:0000038,erythroid progenitor cell,CL:0000038,,80,44248
bone marrow,UBERON:0002371,granulocyte,CL:0000094,granulocyte,CL:0000094,,76,77158
bone marrow,UBERON:0002371,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,CL:0000037,,80,59976
bone marrow,UBERON:0002371,macrophage,CL:0000235,macrophage,CL:0000235,,90,51836
bone marrow,UBERON:0002371,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,74,65548
bone marrow,UBERON:0002371,memory B cell,CL:0000787,memory B cell,CL:0000787,,79,69544
bone marrow,UBERON:0002371,monocyte,CL:0000576,monocyte,CL:0000576,,112,56548
bone marrow,UBERON:0002371,naive B cell,CL:0000788,naive B cell,CL:0000788,,45,6728
bone marrow,UBERON:0002371,neutrophil,CL:0000775,neutrophil,CL:0000775,,40,19584
bone marrow,UBERON:0002371,plasma cell,CL:0000786,plasma cell,CL:0000786,,113,101624
breast mammary gland,UBERON:0001911,B cell,CL:0000236,B cell,CL:0000236,,3,109
breast mammary gland,UBERON:0001911,T cell,CL:0000084,T cell,CL:0000084,,3,107
breast mammary gland,UBERON:0001911,basal cell,CL:0000646,basal cell,CL:0000646,,3,873
breast mammary gland,UBERON:0001911,endothelial cell of artery,CL:1000413,endothelial cell of artery,CL:1000413,,3,1667
breast mammary gland,UBERON:0001911,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,,3,314
breast mammary gland,UBERON:0001911,fibroblast of breast,CL:4006000,fibroblast of breast,CL:4006000,,2,675
breast mammary gland,UBERON:0001911,luminal epithelial cell of mammary gland,CL:0002326,luminal epithelial cell of mammary gland,CL:0002326,,3,4790
breast mammary gland,UBERON:0001911,macrophage,CL:0000235,macrophage,CL:0000235,,3,212
breast mammary gland,UBERON:0001911,mast cell,CL:0000097,mast cell,CL:0000097,,1,20
breast mammary gland,UBERON:0001911,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,2,2
breast mammary gland,UBERON:0001911,pericyte,CL:0000669,pericyte,CL:0000669,,3,884
breast mammary gland,UBERON:0001911,plasma cell,CL:0000786,plasma cell,CL:0000786,,3,7
breast mammary gland,UBERON:0001911,vascular associated smooth muscle cell,CL:0000359,vascular associated smooth muscle cell,CL:0000359,,2,24
breast mammary gland,UBERON:0001911,vein endothelial cell,CL:0002543,vein endothelial cell,CL:0002543,,3,86
eye,UBERON:0000970,B cell,CL:0000236,B cell,CL:0000236,,33,576
eye,UBERON:0000970,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000624,,54,1746
eye,UBERON:0000970,Mueller cell,CL:0000636,Mueller cell,CL:0000636,,135,275952
eye,UBERON:0000970,T cell,CL:0000084,T cell,CL:0000084,,108,6994
eye,UBERON:0000970,conjunctival epithelial cell,CL:1000432,conjunctival epithelial cell,CL:1000432,,94,36234
eye,UBERON:0000970,corneal epithelial cell,CL:0000575,corneal epithelial cell,CL:0000575,,39,19200
eye,UBERON:0000970,dendritic cell,CL:0000451,dendritic cell,CL:0000451,,40,1358
eye,UBERON:0000970,endothelial cell,CL:0000115,endothelial cell,CL:0000115,,45,3336
eye,UBERON:0000970,epithelial cell of lacrimal sac,CL:1000436,epithelial cell of lacrimal sac,CL:1000436,,4,92
eye,UBERON:0000970,erythroid lineage cell,CL:0000764,erythroid lineage cell,CL:0000764,,12,628
eye,UBERON:0000970,eye photoreceptor cell,CL:0000287,eye photoreceptor cell,CL:0000287,,109,191360
eye,UBERON:0000970,fat cell,CL:0000136,fat cell,CL:0000136,,20,492
eye,UBERON:0000970,fibroblast,CL:0000057,fibroblast,CL:0000057,,24,772
eye,UBERON:0000970,keratocyte,CL:0002363,keratocyte,CL:0002363,,54,55714
eye,UBERON:0000970,macrophage,CL:0000235,macrophage,CL:0000235,,27,602
eye,UBERON:0000970,melanocyte,CL:0000148,melanocyte,CL:0000148,,37,31580
eye,UBERON:0000970,microglial cell,CL:0000129,microglial cell,CL:0000129,,60,10022
eye,UBERON:0000970,monocyte,CL:0000576,monocyte,CL:0000576,,16,224
eye,UBERON:0000970,pigmented ciliary epithelial cell,CL:0002303,pigmented ciliary epithelial cell,CL:0002303,,31,29712
eye,UBERON:0000970,plasma cell,CL:0000786,plasma cell,CL:0000786,,25,256
eye,UBERON:0000970,radial glial cell,CL:0000681,radial glial cell,CL:0000681,,66,3554
eye,UBERON:0000970,retinal bipolar neuron,CL:0000748,retinal bipolar neuron,CL:0000748,,118,1917594
eye,UBERON:0000970,retinal blood vessel endothelial cell,CL:0002585,retinal blood vessel endothelial cell,CL:0002585,,68,16416
eye,UBERON:0000970,retinal pigment epithelial cell,CL:0002586,retinal pigment epithelial cell,CL:0002586,,19,930
eye,UBERON:0000970,stem cell,CL:0000034,stem cell,CL:0000034,,30,54130
eye,UBERON:0000970,stromal cell,CL:0000499,stromal cell,CL:0000499,,129,510252
eye,UBERON:0000970,surface ectodermal cell,CL:0000114,surface ectodermal cell,CL:0000114,,63,6806
