donor_race
Unknown Race
White
European
African
South Asian
East Asian
African American
Hispanic or Latin American
Indian
Asian
Native American
Native American || Hispanic or Latin American
Greater Middle Eastern  (Middle Eastern or North African or Persian)
Han Chinese
European American
Hispanic or Latin American || European American
Pacific Islander
German
British
Irish
Bangladeshi
American
Japanese
African American or Afro-Caribbean
Oceanian
Hispanic or Latin
Jewish Israeli
Finnish
Arab
European || Asian
European || Native American || African American
European || Hispanic or Latin American
Chinese
Korean
Singaporean Chinese
Singaporean Malay
Singaporean Indian
Thai
Canadian
Black or African American
Unknown
Hispanic
Black
Other Race
Multiple races
White-Non-Hispanic
White-Hispanic or Latino
Asian-Non-Hispanic
Multiple Race-Hispanic or Latino
Black-Non-Hispanic
white
black
Hispanic/Latino
Caucasian
non-Hispanic Whites
Mixed
Latin
America African
Non-Hispanic
Chinese American
Armenian
"Mediterranean, Jewish, Syrian, Southern European"
caucasian
african
Non-hispanic White
Hispanic Latino
African-American
AfricanAmerican
White/Hispanic
White/White
Hispanic/Hispanic
White/AfricanAmerican
W/H
W
AA
Ashkenazi_Jew
White American
Indigenous American
Other
Caucacian
