sex,provider,dataset_count,cell_count
Female,Broad Institute,40,659085
Male,Broad Institute,42,799317
Female,GTEx,7,47863
Male,GTEx,8,70113
Female,NHLBI/LungMap,2,29691
Male,NHLBI/LungMap,7,109809
Female,RTI-General Electric,4,4937
Male,RTI-General Electric,6,8552
Female,TMC-CalTech,5,532621
Male,TMC-CalTech,21,2510149
Female,TMC-Florida,2,17288
Male,TMC-Florida,9,81010
Female,TMC-Stanford,45,781402
Male,TMC-Stanford,103,2440500
Female,TMC-UCSD,134,4678419
Male,TMC-UCSD,261,11831704
Unknown,TMC-UCSD,9,61989
Male,University of Pittsburgh TMC,5,63629
Unknown,Washington University TMC,2,43735
