Organ_Label,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,dataset_count,cell_count
blood,UBERON:0000178,CD141-positive myeloid dendritic cell,CL:0002394,CD141-positive myeloid dendritic cell,CL:0002394,,274,855
blood,UBERON:0000178,"CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell",CL:0000897,,1403,1585885
blood,UBERON:0000178,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000625,,1402,430763
blood,UBERON:0000178,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,,1404,677220
blood,UBERON:0000178,T cell,CL:0000084,T cell,CL:0000084,,315,1827
blood,UBERON:0000178,basophil,CL:0000767,basophil,CL:0000767,,326,1676
blood,UBERON:0000178,classical monocyte,CL:0000860,classical monocyte,CL:0000860,,1400,1751168
blood,UBERON:0000178,erythrocyte,CL:0000232,erythrocyte,CL:0000232,,223,2185
blood,UBERON:0000178,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,CL:0000037,,622,5544
blood,UBERON:0000178,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,1403,478330
blood,UBERON:0000178,memory B cell,CL:0000787,memory B cell,CL:0000787,,1402,446906
blood,UBERON:0000178,naive B cell,CL:0000788,naive B cell,CL:0000788,,1390,462040
blood,UBERON:0000178,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,,1395,514460
blood,UBERON:0000178,neutrophil,CL:0000775,neutrophil,CL:0000775,,296,2568
blood,UBERON:0000178,plasma cell,CL:0000786,plasma cell,CL:0000786,,1353,76331
blood,UBERON:0000178,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,CL:0000784,,308,585
blood,UBERON:0000178,platelet,CL:0000233,platelet,CL:0000233,,991,40130
blood,UBERON:0000178,type I NK T cell,CL:0000921,type I NK T cell,CL:0000921,,1400,200670
blood vasculature,UBERON:0004537,B cell,CL:0000236,B cell,CL:0000236,,8,406
blood vasculature,UBERON:0004537,T cell,CL:0000084,T cell,CL:0000084,,8,11204
blood vasculature,UBERON:0004537,endothelial cell,CL:0000115,endothelial cell,CL:0000115,,10,15832
blood vasculature,UBERON:0004537,endothelial cell of artery,CL:1000413,endothelial cell of artery,CL:1000413,,8,558
blood vasculature,UBERON:0004537,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,,7,178
blood vasculature,UBERON:0004537,epithelial cell,CL:0000066,epithelial cell,CL:0000066,,4,324
blood vasculature,UBERON:0004537,erythrocyte,CL:0000232,erythrocyte,CL:0000232,,6,142
blood vasculature,UBERON:0004537,fibroblast,CL:0000057,fibroblast,CL:0000057,,7,21894
blood vasculature,UBERON:0004537,macrophage,CL:0000235,macrophage,CL:0000235,,8,15726
blood vasculature,UBERON:0004537,mast cell,CL:0000097,mast cell,CL:0000097,,9,574
blood vasculature,UBERON:0004537,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,8,1608
blood vasculature,UBERON:0004537,pericyte,CL:0000669,pericyte,CL:0000669,,4,2400
blood vasculature,UBERON:0004537,plasma cell,CL:0000786,plasma cell,CL:0000786,,8,538
blood vasculature,UBERON:0004537,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,,8,5882
bone marrow,UBERON:0002371,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000624,,105,44116
bone marrow,UBERON:0002371,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000625,,78,48953
bone marrow,UBERON:0002371,common myeloid progenitor,CL:0000049,common myeloid progenitor,CL:0000049,,57,5174
bone marrow,UBERON:0002371,erythrocyte,CL:0000232,erythrocyte,CL:0000232,,46,13729
bone marrow,UBERON:0002371,erythroid progenitor cell,CL:0000038,erythroid progenitor cell,CL:0000038,,80,22124
bone marrow,UBERON:0002371,granulocyte,CL:0000094,granulocyte,CL:0000094,,76,38579
bone marrow,UBERON:0002371,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,CL:0000037,,80,29988
bone marrow,UBERON:0002371,macrophage,CL:0000235,macrophage,CL:0000235,,90,25918
bone marrow,UBERON:0002371,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,74,32774
bone marrow,UBERON:0002371,memory B cell,CL:0000787,memory B cell,CL:0000787,,79,34772
bone marrow,UBERON:0002371,monocyte,CL:0000576,monocyte,CL:0000576,,112,28274
bone marrow,UBERON:0002371,naive B cell,CL:0000788,naive B cell,CL:0000788,,45,3364
bone marrow,UBERON:0002371,neutrophil,CL:0000775,neutrophil,CL:0000775,,40,9792
bone marrow,UBERON:0002371,plasma cell,CL:0000786,plasma cell,CL:0000786,,113,50812
eye,UBERON:0000970,B cell,CL:0000236,B cell,CL:0000236,,33,288
eye,UBERON:0000970,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000624,,54,873
eye,UBERON:0000970,Mueller cell,CL:0000636,Mueller cell,CL:0000636,,135,137976
eye,UBERON:0000970,T cell,CL:0000084,T cell,CL:0000084,,108,3497
eye,UBERON:0000970,conjunctival epithelial cell,CL:1000432,conjunctival epithelial cell,CL:1000432,,94,18117
eye,UBERON:0000970,corneal epithelial cell,CL:0000575,corneal epithelial cell,CL:0000575,,39,9600
eye,UBERON:0000970,dendritic cell,CL:0000451,dendritic cell,CL:0000451,,40,679
eye,UBERON:0000970,endothelial cell,CL:0000115,endothelial cell,CL:0000115,,45,1668
eye,UBERON:0000970,epithelial cell of lacrimal sac,CL:1000436,epithelial cell of lacrimal sac,CL:1000436,,4,46
eye,UBERON:0000970,erythroid lineage cell,CL:0000764,erythroid lineage cell,CL:0000764,,12,314
eye,UBERON:0000970,eye photoreceptor cell,CL:0000287,eye photoreceptor cell,CL:0000287,,109,95680
eye,UBERON:0000970,fat cell,CL:0000136,fat cell,CL:0000136,,20,246
eye,UBERON:0000970,fibroblast,CL:0000057,fibroblast,CL:0000057,,24,386
eye,UBERON:0000970,keratocyte,CL:0002363,keratocyte,CL:0002363,,54,27857
eye,UBERON:0000970,macrophage,CL:0000235,macrophage,CL:0000235,,27,301
eye,UBERON:0000970,melanocyte,CL:0000148,melanocyte,CL:0000148,,37,15790
eye,UBERON:0000970,microglial cell,CL:0000129,microglial cell,CL:0000129,,60,5011
eye,UBERON:0000970,monocyte,CL:0000576,monocyte,CL:0000576,,16,112
eye,UBERON:0000970,pigmented ciliary epithelial cell,CL:0002303,pigmented ciliary epithelial cell,CL:0002303,,31,14856
eye,UBERON:0000970,plasma cell,CL:0000786,plasma cell,CL:0000786,,25,128
eye,UBERON:0000970,radial glial cell,CL:0000681,radial glial cell,CL:0000681,,66,1777
