hubmap_ids_portal,ran_through_hra_workflow_runner_in_hra_pop_v0.5.2
HBM699.XBTD.684,True
HBM975.WHWM.552,False
HBM746.WTMD.298,False
HBM535.XQDS.238,False
HBM688.RPFC.258,True
HBM826.RGXW.276,False
HBM375.ZKZZ.765,False
HBM426.HLCN.236,False
HBM886.SLWK.262,False
HBM883.SPLD.238,False
HBM692.WWJD.963,False
HBM342.MWMW.936,False
HBM874.GLHT.852,True
HBM578.BDBP.672,True
HBM842.DDTX.473,True
HBM373.HCFG.722,True
HBM382.HNKL.447,False
HBM975.MVDK.648,True
HBM659.WFXT.729,False
HBM837.RZPL.332,False
HBM363.LDZL.423,False
HBM435.WLKV.658,False
HBM773.WCXC.264,False
HBM927.HHFD.265,False
HBM459.BBRT.432,False
HBM882.NBFK.489,False
HBM695.CKJX.997,False
HBM983.QHFB.659,False
HBM722.TVXP.469,True
HBM468.SSXX.967,True
HBM729.TFXC.825,False
HBM236.JPVT.769,True
HBM846.WXJK.587,False
HBM466.RBPX.375,False
HBM675.RVGB.258,True
HBM629.GSHG.922,True
HBM292.GSZL.269,True
HBM296.KZXD.676,True
HBM735.LWRH.779,False
HBM578.ZCCJ.565,False
HBM973.ZVNB.886,False
HBM224.GLDC.549,False
HBM363.TBHH.346,True
HBM794.ZFKH.622,False
HBM689.ZKRJ.585,True
HBM257.JTGD.599,False
HBM557.KNTT.394,False
HBM964.BVWP.737,True
HBM667.ZCQC.777,False
HBM587.JPLF.798,False
HBM836.SCTK.396,False
HBM886.ZXXN.298,False
HBM293.NNSQ.773,True
HBM673.WGZS.593,False
HBM575.XFCT.276,False
HBM253.ZBQP.383,False
HBM426.CDKT.979,False
HBM439.BQLR.867,True
HBM872.LGVH.332,False
HBM479.RDNW.482,False
HBM375.KNVL.645,False
HBM965.GWBH.574,False
HBM582.CXXZ.438,True
HBM495.KSXC.638,False
HBM644.GBKD.967,False
HBM777.SVZT.454,False
HBM787.XCSX.733,True
HBM253.ZBGF.863,True
HBM836.FPBQ.686,False
HBM548.WNVT.322,False
HBM239.XXRN.647,False
HBM782.HVML.355,True
HBM379.ZGKM.223,False
HBM892.JLFV.844,True
HBM443.TQKQ.624,False
HBM724.WBBC.362,False
HBM456.GRCM.369,True
HBM574.NFCS.842,False
HBM445.NPKW.958,False
HBM954.WWJF.865,True
HBM797.PDPS.368,False
HBM493.GFHZ.686,False
HBM432.BPZM.698,False
HBM672.TRVG.967,False
HBM247.HLXR.494,True
HBM522.LXLF.753,False
HBM725.NLKP.539,False
HBM849.TWBF.722,False
HBM488.CHLD.467,False
HBM425.ZCSZ.825,False
HBM363.NTWP.766,True
HBM762.RPDR.282,True
HBM636.CHVG.283,True
HBM839.TQNM.958,False
HBM874.DVHQ.638,False
HBM475.LXDL.227,False
HBM894.VJNM.258,False
HBM389.FGMD.644,False
HBM386.CVHG.956,False
HBM764.ZCQR.585,False
HBM524.KHPH.599,True
HBM349.KWMK.599,False
HBM957.TXXZ.387,True
HBM823.CNRW.484,True
HBM697.XSHN.426,False
HBM882.KDTH.685,False
HBM675.VBDH.688,True
HBM976.LDTR.982,True
HBM442.SBCR.983,False
HBM264.RWRW.668,False
HBM444.BXPJ.728,False
HBM694.NXCN.368,True
HBM894.DMKD.525,True
HBM788.XLZL.369,False
HBM442.ZDMV.523,False
HBM596.FQNZ.472,False
HBM572.QTTV.726,False
HBM475.NWHG.922,False
HBM266.ZBKL.396,False
HBM633.LLDZ.679,True
HBM659.MPZT.644,False
HBM752.KZCK.589,True
HBM684.LRVL.722,False
HBM599.GNJN.777,True
HBM788.XWPV.347,False
HBM687.FWNC.555,False
HBM525.SJRT.585,True
HBM477.SGMX.842,False
HBM982.TTRB.258,False
HBM259.BPTK.843,False
HBM254.SJWB.835,True
HBM947.MQZT.787,True
HBM766.PSCS.545,False
HBM852.VXGN.375,True
HBM867.XBWD.535,False
HBM745.FJML.722,True
HBM727.DWPV.852,True
HBM729.KJWJ.742,False
